PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,RD,DIST_CRU,,,,,,,,,,1.0
OperationalLife,BAU,RD,DIST_NGS,,,,,,,,,,1.0
OperationalLife,BAU,RD,DIST_DSL,,,,,,,,,,1.0
OperationalLife,BAU,RD,DIST_GSL,,,,,,,,,,1.0
OperationalLife,BAU,RD,DIST_LPG,,,,,,,,,,1.0
OperationalLife,BAU,RD,DIST_FOI,,,,,,,,,,1.0
OperationalLife,BAU,RD,DIST_COK,,,,,,,,,,1.0
OperationalLife,BAU,RD,DIST_KER,,,,,,,,,,1.0
OperationalLife,BAU,RD,DIST_COA,,,,,,,,,,1.0
OperationalLife,BAU,RD,IMP_ELE,,,,,,,,,,1.0
OperationalLife,BAU,RD,EXTT_CRU,,,,,,,,,,1.0
OperationalLife,BAU,RD,EXTT_LPG,,,,,,,,,,1.0
OperationalLife,BAU,RD,PPHDAM,,,,,,,,,,50.0
OperationalLife,BAU,RD,PPHROR,,,,,,,,,,30.0
OperationalLife,BAU,RD,PPGEO,,,,,,,,,,50.0
OperationalLife,BAU,RD,PPWNDON,,,,,,,,,,20.0
OperationalLife,BAU,RD,PPWNDOFF,,,,,,,,,,20.0
OperationalLife,BAU,RD,PPPVT,,,,,,,,,,20.0
OperationalLife,BAU,RD,PPPVTHYD,,,,,,,,,,20.0
OperationalLife,BAU,RD,PPPVTS,,,,,,,,,,20.0
OperationalLife,BAU,RD,PPPVD,,,,,,,,,,25.0
OperationalLife,BAU,RD,PPPVDS,,,,,,,,,,15.0
OperationalLife,BAU,RD,DIST_FIR,,,,,,,,,,1.0
OperationalLife,BAU,RD,DIST_BIM,,,,,,,,,,1.0
OperationalLife,BAU,RD,DIST_BGS,,,,,,,,,,1.0
OperationalLife,BAU,RD,SOIALL,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPRIC,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPBAN,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPSGC,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPCOC,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPTRVEG,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPCAF,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPLEG,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPROT,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPFRT,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPCER,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPOTP,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPLEC,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPCARAVI,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPCARBOV,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPCARPOR,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMPOTRCAR,,,,,,,,,,100.0
OperationalLife,BAU,RD,INORG_RCY_OS,,,,,,,,,,100.0
OperationalLife,BAU,RD,AD,,,,,,,,,,20.0
OperationalLife,BAU,RD,COMPOST,,,,,,,,,,20.0
OperationalLife,BAU,RD,LANDFILL,,,,,,,,,,30.0
OperationalLife,BAU,RD,NO_CONTR_OD,,,,,,,,,,20.0
OperationalLife,BAU,RD,COPROC,,,,,,,,,,20.0
OperationalLife,BAU,RD,INCIN,,,,,,,,,,20.0
OperationalLife,BAU,RD,OPEN_BURN,,,,,,,,,,20.0
OperationalLife,BAU,RD,SIT_CLAN,,,,,,,,,,20.0
OperationalLife,BAU,RD,AERO_PTAR,,,,,,,,,,20.0
OperationalLife,BAU,RD,AERO_PTAR_RU,,,,,,,,,,20.0
OperationalLife,BAU,RD,ANAE_LAGN,,,,,,,,,,20.0
OperationalLife,BAU,RD,ANAE_LAGN_RU,,,,,,,,,,20.0
OperationalLife,BAU,RD,SEPT_SYST,,,,,,,,,,20.0
OperationalLife,BAU,RD,LATR,,,,,,,,,,20.0
OperationalLife,BAU,RD,EFLT_DISC,,,,,,,,,,100.0
OperationalLife,BAU,RD,SEWER_NO_T,,,,,,,,,,100.0
OperationalLife,BAU,RD,RAW_MAT_CLK,,,,,,,,,,100.0
OperationalLife,BAU,RD,RAW_MAT_CEM,,,,,,,,,,100.0
OperationalLife,BAU,RD,IMP_STOR,,,,,,,,,,100.0
OperationalLife,BAU,RD,REF_DSL,,,,,,,,,,1.0
OperationalLife,BAU,RD,REF_GSL,,,,,,,,,,1.0
OperationalLife,BAU,RD,REF_LPG,,,,,,,,,,1.0
OperationalLife,BAU,RD,REF_FOI,,,,,,,,,,1.0
OperationalLife,BAU,RD,PPBIM,,,,,,,,,,30.0
OperationalLife,BAU,RD,PPBGS,,,,,,,,,,30.0
OperationalLife,BAU,RD,PPCOA,,,,,,,,,,30.0
OperationalLife,BAU,RD,PPCCTDSL,,,,,,,,,,30.0
OperationalLife,BAU,RD,PPCCFOIDSL,,,,,,,,,,30.0
OperationalLife,BAU,RD,PPCCTNGS,,,,,,,,,,30.0
OperationalLife,BAU,RD,PPCCTNGSDSL,,,,,,,,,,30.0
OperationalLife,BAU,RD,PPICEFOI,,,,,,,,,,30.0
OperationalLife,BAU,RD,PPICEGASFOI,,,,,,,,,,30.0
OperationalLife,BAU,RD,ELE_TRANS,,,,,,,,,,60.0
OperationalLife,BAU,RD,HYD_G_PROD,,,,,,,,,,20.0
OperationalLife,BAU,RD,ELE_DIST,,,,,,,,,,60.0
OperationalLife,BAU,RD,HYD_DIST,,,,,,,,,,15.0
OperationalLife,BAU,RD,LU_FOR,,,,,,,,,,1.0
OperationalLife,BAU,RD,LU_AGR,,,,,,,,,,1.0
OperationalLife,BAU,RD,LU_GAN,,,,,,,,,,1.0
OperationalLife,BAU,RD,LU_LATHUM,,,,,,,,,,1.0
OperationalLife,BAU,RD,LU_DCON,,,,,,,,,,1.0
OperationalLife,BAU,RD,LU_WET,,,,,,,,,,1.0
OperationalLife,BAU,RD,LU_DRY,,,,,,,,,,1.0
OperationalLife,BAU,RD,AG_RIC,,,,,,,,,,1.0
OperationalLife,BAU,RD,AG_BAN,,,,,,,,,,1.0
OperationalLife,BAU,RD,AG_SGC,,,,,,,,,,1.0
OperationalLife,BAU,RD,AG_COC,,,,,,,,,,1.0
OperationalLife,BAU,RD,AG_TRVEG,,,,,,,,,,1.0
OperationalLife,BAU,RD,AG_CAF,,,,,,,,,,1.0
OperationalLife,BAU,RD,AG_LEG,,,,,,,,,,1.0
OperationalLife,BAU,RD,AG_ROT,,,,,,,,,,1.0
OperationalLife,BAU,RD,AG_FRT,,,,,,,,,,1.0
OperationalLife,BAU,RD,AGR_CER,,,,,,,,,,1.0
OperationalLife,BAU,RD,AGR_OTP,,,,,,,,,,1.0
OperationalLife,BAU,RD,GA_LEC,,,,,,,,,,1.0
OperationalLife,BAU,RD,GA_OTRCARPRO,,,,,,,,,,1.0
OperationalLife,BAU,RD,GA_CARAVI,,,,,,,,,,1.0
OperationalLife,BAU,RD,GA_CARBOV,,,,,,,,,,1.0
OperationalLife,BAU,RD,GA_CARPOR,,,,,,,,,,1.0
OperationalLife,BAU,RD,GA_OTRCAR,,,,,,,,,,1.0
OperationalLife,BAU,RD,OSS_INORG,,,,,,,,,,100.0
OperationalLife,BAU,RD,OSS_ORG,,,,,,,,,,100.0
OperationalLife,BAU,RD,NO_OSS_BLEND,,,,,,,,,,100.0
OperationalLife,BAU,RD,NO_OSS_NO_COLL,,,,,,,,,,100.0
OperationalLife,BAU,RD,INORG_DCOLL,,,,,,,,,,100.0
OperationalLife,BAU,RD,ORG_DCOLL,,,,,,,,,,100.0
OperationalLife,BAU,RD,BLEND_NO_DCOLL,,,,,,,,,,100.0
OperationalLife,BAU,RD,BLEND_NO_COLL,,,,,,,,,,100.0
OperationalLife,BAU,RD,INORG_SS,,,,,,,,,,100.0
OperationalLife,BAU,RD,ORG_SS,,,,,,,,,,100.0
OperationalLife,BAU,RD,NO_SS,,,,,,,,,,100.0
OperationalLife,BAU,RD,WWWT,,,,,,,,,,100.0
OperationalLife,BAU,RD,WWWOT,,,,,,,,,,100.0
OperationalLife,BAU,RD,SEWERWW,,,,,,,,,,100.0
OperationalLife,BAU,RD,DIRECT_DISC,,,,,,,,,,100.0
OperationalLife,BAU,RD,PROD_CLK_TRAD,,,,,,,,,,40.0
OperationalLife,BAU,RD,PROD_CEM,,,,,,,,,,100.0
OperationalLife,BAU,RD,T5TSWTSW,,,,,,,,,,100.0
OperationalLife,BAU,RD,T5TWWTWW,,,,,,,,,,100.0
OperationalLife,BAU,RD,T5CEM_PRODCEM_PROD,,,,,,,,,,100.0
OperationalLife,BAU,RD,T4DSL_PRI,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4GSL_PRI,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4LPG_PRI,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4ELE_PRI,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4GSL_PUB,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4LPG_PUB,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4ELE_PUB,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4NGS_PRI,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4DSL_PUB,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4HYD_PUB,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4DSL_TUR,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4GSL_TUR,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4LPG_TUR,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4ELE_TUR,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4HYD_TUR,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4ELE_HEA,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4DSL_HEA,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4GSL_HEA,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4LPG_HEA,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4HYD_HEA,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4DSL_LIG,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4GSL_LIG,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4LPG_LIG,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4ELE_LIG,,,,,,,,,,1.0
OperationalLife,BAU,RD,T4NGS_LIG,,,,,,,,,,1.0
OperationalLife,BAU,RD,TRAUTDSL,,,,,,,,,,1.0
OperationalLife,BAU,RD,TRAUTGSL,,,,,,,,,,1.0
OperationalLife,BAU,RD,TRAUTLPG,,,,,,,,,,1.0
OperationalLife,BAU,RD,TRAUTELE,,,,,,,,,,1.0
OperationalLife,BAU,RD,TRAUTHG,,,,,,,,,,1.0
OperationalLife,BAU,RD,TRTAXGSL,,,,,,,,,,1.0
OperationalLife,BAU,RD,TRTAXLPG,,,,,,,,,,1.0
OperationalLife,BAU,RD,TRTAXELE,,,,,,,,,,1.0
OperationalLife,BAU,RD,TRMOTGSL,,,,,,,,,,1.0
OperationalLife,BAU,RD,TRMOTELE,,,,,,,,,,1.0
OperationalLife,BAU,RD,TRSUVDSL,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRSUVGSL,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRSUVLPG,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRSUVELE,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRSUVNGS,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRBPUDSL,,,,,,,,,,14.0
OperationalLife,BAU,RD,TRBPUGSL,,,,,,,,,,14.0
OperationalLife,BAU,RD,TRBPULPG,,,,,,,,,,14.0
OperationalLife,BAU,RD,TRBPUELE,,,,,,,,,,16.0
OperationalLife,BAU,RD,TRBPUHYD,,,,,,,,,,12.0
OperationalLife,BAU,RD,TRBTURDSL,,,,,,,,,,14.0
OperationalLife,BAU,RD,TRBTURGSL,,,,,,,,,,14.0
OperationalLife,BAU,RD,TRBTURLPG,,,,,,,,,,14.0
OperationalLife,BAU,RD,TRBTURELE,,,,,,,,,,16.0
OperationalLife,BAU,RD,TRBTURHYD,,,,,,,,,,12.0
OperationalLife,BAU,RD,TRMBSDSL,,,,,,,,,,14.0
OperationalLife,BAU,RD,TRMBSGSL,,,,,,,,,,14.0
OperationalLife,BAU,RD,TRMBSLPG,,,,,,,,,,14.0
OperationalLife,BAU,RD,TRMBSELE,,,,,,,,,,16.0
OperationalLife,BAU,RD,TRXTTELELE,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRXTRAIELE,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRXTRAIFREELE,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRYTKDSL,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRYTKGSL,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRYTKLPG,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRYTKELE,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRYTKHYD,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRYTKHD,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRYLFDSL,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRYLFGSL,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRYLFLPG,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRYLFELE,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRYLFNGS,,,,,,,,,,17.0
OperationalLife,BAU,RD,TRYLFHD,,,,,,,,,,17.0
OperationalLife,BAU,RD,Techs_Auto,,,,,,,,,,1.0
OperationalLife,BAU,RD,Techs_Taxi,,,,,,,,,,1.0
OperationalLife,BAU,RD,Techs_Motos,,,,,,,,,,1.0
OperationalLife,BAU,RD,Techs_SUV,,,,,,,,,,1.0
OperationalLife,BAU,RD,Techs_Buses_Pub,,,,,,,,,,1.0
OperationalLife,BAU,RD,Techs_Buses_Tur,,,,,,,,,,1.0
OperationalLife,BAU,RD,Techs_Buses_Micro,,,,,,,,,,1.0
OperationalLife,BAU,RD,Techs_Telef,,,,,,,,,,1.0
OperationalLife,BAU,RD,Techs_Trains,,,,,,,,,,1.0
OperationalLife,BAU,RD,Techs_Trains_Freight,,,,,,,,,,1.0
OperationalLife,BAU,RD,Techs_He_Freight,,,,,,,,,,1.0
OperationalLife,BAU,RD,Techs_Li_Freight,,,,,,,,,,1.0
