PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2018,,,,,,1.130436
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2019,,,,,,1.3405151997302078
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2020,,,,,,1.155981494838745
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2021,,,,,,1.3158819494067027
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2022,,,,,,1.228027468725523
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2023,,,,,,1.2225466516920374
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2024,,,,,,1.2642991758160602
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2025,,,,,,1.3061603371669015
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2026,,,,,,1.3457029459936605
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2027,,,,,,1.385820995226948
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2028,,,,,,1.4283570465266955
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2029,,,,,,1.4693026793705557
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2030,,,,,,1.510062673391979
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2031,,,,,,1.5470140015439409
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2032,,,,,,1.5846567014175537
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2033,,,,,,1.6229997712220672
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2034,,,,,,1.6620522756006084
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2035,,,,,,1.70182334575065
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2036,,,,,,1.735388186267575
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2037,,,,,,1.7694597550384985
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2038,,,,,,1.804043379247714
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2039,,,,,,1.8391444178829401
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2040,,,,,,1.8747682617819925
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2041,,,,,,1.9037214287348594
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2042,,,,,,1.9330171998608836
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2043,,,,,,1.9626584009867136
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2044,,,,,,1.9926478711876765
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2045,,,,,,2.02298846280307
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2046,,,,,,2.0465590535637337
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2047,,,,,,2.0703402523753147
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2048,,,,,,2.094333372080684
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2049,,,,,,2.1185397301785733
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2050,,,,,,2.1429606488276343
SpecifiedAnnualDemand,BAU,RD,,E5COMGSL,,,2018,,,,,,0.03223836
SpecifiedAnnualDemand,BAU,RD,,E5COMGSL,,,2019,,,,,,0.0011545953256971884
SpecifiedAnnualDemand,BAU,RD,,E5COMGSL,,,2020,,,,,,0.001066521888584608
SpecifiedAnnualDemand,BAU,RD,,E5COMGSL,,,2021,,,,,,0.0013051871151880713
SpecifiedAnnualDemand,BAU,RD,,E5COMGSL,,,2022,,,,,,0.0016135484443296816
SpecifiedAnnualDemand,BAU,RD,,E5COMGSL,,,2023,,,,,,0.0016063470062321979
SpecifiedAnnualDemand,BAU,RD,,E5COMGSL,,,2024,,,,,,0.001661207114872172
SpecifiedAnnualDemand,BAU,RD,,E5COMGSL,,,2025,,,,,,0.0017162099657820004
SpecifiedAnnualDemand,BAU,RD,,E5COMGSL,,,2026,,,,,,0.0017681663890559611
SpecifiedAnnualDemand,BAU,RD,,E5COMGSL,,,2027,,,,,,0.0018208789037011698
