PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2018,,,,,,15.5983
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2019,,,,,,17.048
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2020,,,,,,18.6546
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2021,,,,,,19.6992
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2022,,,,,,20.7834
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2023,,,,,,21.9071
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2024,,,,,,23.0705
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2025,,,,,,24.2733
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2026,,,,,,25.5154
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2027,,,,,,26.7965
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2028,,,,,,28.116
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2029,,,,,,29.4733
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2030,,,,,,30.8677
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2031,,,,,,32.2983
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2032,,,,,,33.764
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2033,,,,,,35.2635
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2034,,,,,,36.7957
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2035,,,,,,38.3589
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2036,,,,,,39.9514
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2037,,,,,,41.5715
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2038,,,,,,43.2172
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2039,,,,,,44.8862
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2040,,,,,,46.5765
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2041,,,,,,48.2853
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2042,,,,,,50.0103
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2043,,,,,,51.7486
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2044,,,,,,53.4973
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2045,,,,,,55.2535
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2046,,,,,,57.014
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2047,,,,,,58.7755
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2048,,,,,,60.5347
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2049,,,,,,62.2881
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2050,,,,,,64.0322
TotalAnnualMaxCapacity,BAU,RD,Techs_Taxi,,,,2018,,,,,,0.7871
TotalAnnualMaxCapacity,BAU,RD,Techs_Taxi,,,,2019,,,,,,0.8562
TotalAnnualMaxCapacity,BAU,RD,Techs_Taxi,,,,2020,,,,,,0.9369
TotalAnnualMaxCapacity,BAU,RD,Techs_Taxi,,,,2021,,,,,,0.9893
TotalAnnualMaxCapacity,BAU,RD,Techs_Taxi,,,,2022,,,,,,1.0437
TotalAnnualMaxCapacity,BAU,RD,Techs_Taxi,,,,2023,,,,,,1.1002
TotalAnnualMaxCapacity,BAU,RD,Techs_Taxi,,,,2024,,,,,,1.1587
TotalAnnualMaxCapacity,BAU,RD,Techs_Taxi,,,,2025,,,,,,1.2191
TotalAnnualMaxCapacity,BAU,RD,Techs_Taxi,,,,2026,,,,,,1.2814
TotalAnnualMaxCapacity,BAU,RD,Techs_Taxi,,,,2027,,,,,,1.3457
TotalAnnualMaxCapacity,BAU,RD,Techs_Taxi,,,,2028,,,,,,1.412
TotalAnnualMaxCapacity,BAU,RD,Techs_Taxi,,,,2029,,,,,,1.4802
TotalAnnualMaxCapacity,BAU,RD,Techs_Taxi,,,,2030,,,,,,1.5502
