PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
AnnualEmissionLimit,LTS,RD,,,CO2e,,2018,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2019,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2020,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2021,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2022,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2023,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2024,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2025,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2026,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2027,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2028,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2029,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2030,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2031,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2032,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2033,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2034,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2035,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2036,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2037,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2038,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2039,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2040,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2041,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2042,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2043,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2044,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2045,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2046,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2047,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2048,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2049,,,,,,9999
AnnualEmissionLimit,LTS,RD,,,CO2e,,2050,,,,,,9999
