PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,LTS,RD,DIST_CRU,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,DIST_NGS,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,DIST_DSL,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,DIST_GSL,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,DIST_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,DIST_FOI,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,DIST_COK,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,DIST_KER,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,DIST_COA,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,IMP_ELE,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,EXTT_CRU,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,EXTT_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,PPHDAM,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,RD,PPHROR,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,RD,PPGEO,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,RD,PPWNDON,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,RD,PPWNDOFF,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,RD,PPPVT,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,RD,PPPVTHYD,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,RD,PPPVTS,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,RD,PPPVD,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,RD,PPPVDS,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,RD,DIST_FIR,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,DIST_BIM,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,DIST_BGS,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,SOIALL,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,RD,IMPRIC,,,,,,,,,,1.0
