PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,LTS,RD,IMP_ELE,,,,2018,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2019,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2020,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2021,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2022,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2023,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2024,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2025,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2026,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2027,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2028,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2029,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2030,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2031,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2032,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2033,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2034,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2035,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2036,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2037,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2038,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2039,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2040,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2041,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2042,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2043,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2044,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2045,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2046,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2047,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2048,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2049,,,,,,1642.8571
CapitalCost,LTS,RD,IMP_ELE,,,,2050,,,,,,1642.8571
CapitalCost,LTS,RD,PPHDAM,,,,2018,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2019,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2020,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2021,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2022,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2023,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2024,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2025,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2026,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2027,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2028,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2029,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2030,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2031,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2032,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2033,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2034,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2035,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2036,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2037,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2038,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2039,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2040,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2041,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2042,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2043,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2044,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2045,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2046,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2047,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2048,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2049,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2050,,,,,,2887.188
CapitalCost,LTS,RD,PPHROR,,,,2018,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2019,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2020,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2021,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2022,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2023,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2024,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2025,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2026,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2027,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2028,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2029,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2030,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2031,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2032,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2033,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2034,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2035,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2036,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2037,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2038,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2039,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2040,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2041,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2042,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2043,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2044,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2045,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2046,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2047,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2048,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2049,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2050,,,,,,8461.0499
CapitalCost,LTS,RD,PPGEO,,,,2018,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2019,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2020,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2021,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2022,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2023,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2024,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2025,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2026,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2027,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2028,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2029,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2030,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2031,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2032,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2033,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2034,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2035,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2036,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2037,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2038,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2039,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2040,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2041,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2042,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2043,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2044,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2045,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2046,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2047,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2048,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2049,,,,,,4000.0
CapitalCost,LTS,RD,PPGEO,,,,2050,,,,,,4000.0
CapitalCost,LTS,RD,PPWNDON,,,,2018,,,,,,1749.26
CapitalCost,LTS,RD,PPWNDON,,,,2019,,,,,,1749.26
CapitalCost,LTS,RD,PPWNDON,,,,2020,,,,,,1688.0
CapitalCost,LTS,RD,PPWNDON,,,,2021,,,,,,1626.74
CapitalCost,LTS,RD,PPWNDON,,,,2022,,,,,,1565.48
CapitalCost,LTS,RD,PPWNDON,,,,2023,,,,,,1504.22
CapitalCost,LTS,RD,PPWNDON,,,,2024,,,,,,1442.96
CapitalCost,LTS,RD,PPWNDON,,,,2025,,,,,,3279.96
CapitalCost,LTS,RD,PPWNDON,,,,2026,,,,,,3149.7
CapitalCost,LTS,RD,PPWNDON,,,,2027,,,,,,3019.44
CapitalCost,LTS,RD,PPWNDON,,,,2028,,,,,,2889.18
CapitalCost,LTS,RD,PPWNDON,,,,2029,,,,,,2759.92
CapitalCost,LTS,RD,PPWNDON,,,,2030,,,,,,2629.6601
CapitalCost,LTS,RD,PPWNDON,,,,2031,,,,,,2608.2935
CapitalCost,LTS,RD,PPWNDON,,,,2032,,,,,,2585.9269
CapitalCost,LTS,RD,PPWNDON,,,,2033,,,,,,2564.5602
CapitalCost,LTS,RD,PPWNDON,,,,2034,,,,,,2543.1936
CapitalCost,LTS,RD,PPWNDON,,,,2035,,,,,,2521.827
CapitalCost,LTS,RD,PPWNDON,,,,2036,,,,,,2500.4604
CapitalCost,LTS,RD,PPWNDON,,,,2037,,,,,,2478.0938
CapitalCost,LTS,RD,PPWNDON,,,,2038,,,,,,2456.7272
CapitalCost,LTS,RD,PPWNDON,,,,2039,,,,,,2435.3606
CapitalCost,LTS,RD,PPWNDON,,,,2040,,,,,,2413.994
CapitalCost,LTS,RD,PPWNDON,,,,2041,,,,,,2391.6274
CapitalCost,LTS,RD,PPWNDON,,,,2042,,,,,,2370.2608
CapitalCost,LTS,RD,PPWNDON,,,,2043,,,,,,2348.8942
CapitalCost,LTS,RD,PPWNDON,,,,2044,,,,,,2327.5276
CapitalCost,LTS,RD,PPWNDON,,,,2045,,,,,,2306.161
CapitalCost,LTS,RD,PPWNDON,,,,2046,,,,,,2283.7944
CapitalCost,LTS,RD,PPWNDON,,,,2047,,,,,,2262.4278
CapitalCost,LTS,RD,PPWNDON,,,,2048,,,,,,2241.0612
CapitalCost,LTS,RD,PPWNDON,,,,2049,,,,,,2219.6946
CapitalCost,LTS,RD,PPWNDON,,,,2050,,,,,,2197.328
CapitalCost,LTS,RD,PPPVT,,,,2018,,,,,,1170.4607
CapitalCost,LTS,RD,PPPVT,,,,2019,,,,,,1170.4607
CapitalCost,LTS,RD,PPPVT,,,,2020,,,,,,1023.5
CapitalCost,LTS,RD,PPPVT,,,,2021,,,,,,983.0834
CapitalCost,LTS,RD,PPPVT,,,,2022,,,,,,942.6668
CapitalCost,LTS,RD,PPPVT,,,,2023,,,,,,902.2501
CapitalCost,LTS,RD,PPPVT,,,,2024,,,,,,861.8335
CapitalCost,LTS,RD,PPPVT,,,,2025,,,,,,2698.8335
CapitalCost,LTS,RD,PPPVT,,,,2026,,,,,,2589.4169
CapitalCost,LTS,RD,PPPVT,,,,2027,,,,,,2480.0003
CapitalCost,LTS,RD,PPPVT,,,,2028,,,,,,2370.5836
CapitalCost,LTS,RD,PPPVT,,,,2029,,,,,,2262.167
CapitalCost,LTS,RD,PPPVT,,,,2030,,,,,,2152.7504
CapitalCost,LTS,RD,PPPVT,,,,2031,,,,,,2136.8714
CapitalCost,LTS,RD,PPPVT,,,,2032,,,,,,2119.9925
CapitalCost,LTS,RD,PPPVT,,,,2033,,,,,,2104.1136
CapitalCost,LTS,RD,PPPVT,,,,2034,,,,,,2088.2346
CapitalCost,LTS,RD,PPPVT,,,,2035,,,,,,2072.3557
CapitalCost,LTS,RD,PPPVT,,,,2036,,,,,,2056.4767
CapitalCost,LTS,RD,PPPVT,,,,2037,,,,,,2039.5978
CapitalCost,LTS,RD,PPPVT,,,,2038,,,,,,2023.7189
CapitalCost,LTS,RD,PPPVT,,,,2039,,,,,,2007.8399
CapitalCost,LTS,RD,PPPVT,,,,2040,,,,,,1991.961
CapitalCost,LTS,RD,PPPVT,,,,2041,,,,,,1975.082
CapitalCost,LTS,RD,PPPVT,,,,2042,,,,,,1959.2031
CapitalCost,LTS,RD,PPPVT,,,,2043,,,,,,1943.3242
CapitalCost,LTS,RD,PPPVT,,,,2044,,,,,,1927.4452
CapitalCost,LTS,RD,PPPVT,,,,2045,,,,,,1911.5663
CapitalCost,LTS,RD,PPPVT,,,,2046,,,,,,1894.6873
CapitalCost,LTS,RD,PPPVT,,,,2047,,,,,,1878.8084
CapitalCost,LTS,RD,PPPVT,,,,2048,,,,,,1862.9295
CapitalCost,LTS,RD,PPPVT,,,,2049,,,,,,1847.0505
CapitalCost,LTS,RD,PPPVT,,,,2050,,,,,,1830.1716
CapitalCost,LTS,RD,PPPVTHYD,,,,2018,,,,,,1170.4607
CapitalCost,LTS,RD,PPPVTHYD,,,,2019,,,,,,1170.4607
CapitalCost,LTS,RD,PPPVTHYD,,,,2020,,,,,,1023.5
