PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2018,,,,,,1.1304
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2019,,,,,,1.3405
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2020,,,,,,1.156
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2021,,,,,,1.3159
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2022,,,,,,1.228
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2023,,,,,,1.2225
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2024,,,,,,1.2643
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2025,,,,,,1.3062
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2026,,,,,,1.329
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2027,,,,,,1.3518
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2028,,,,,,1.3746
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2029,,,,,,1.3974
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2030,,,,,,1.4202
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2031,,,,,,1.4029
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2032,,,,,,1.3855
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2033,,,,,,1.3682
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2034,,,,,,1.3508
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2035,,,,,,1.3335
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2036,,,,,,1.3161
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2037,,,,,,1.2988
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2038,,,,,,1.2814
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2039,,,,,,1.2641
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2040,,,,,,1.2467
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2041,,,,,,1.1992
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2042,,,,,,1.1517
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2043,,,,,,1.1041
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2044,,,,,,1.0566
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2045,,,,,,1.0091
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2046,,,,,,0.9616
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2047,,,,,,0.914
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2048,,,,,,0.8665
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2049,,,,,,0.819
SpecifiedAnnualDemand,LTS,RD,,E5COMDSL,,,2050,,,,,,0.7715
SpecifiedAnnualDemand,LTS,RD,,E5COMGSL,,,2018,,,,,,0.0322
SpecifiedAnnualDemand,LTS,RD,,E5COMGSL,,,2019,,,,,,0.0012
SpecifiedAnnualDemand,LTS,RD,,E5COMGSL,,,2020,,,,,,0.0011
SpecifiedAnnualDemand,LTS,RD,,E5COMGSL,,,2021,,,,,,0.0013
SpecifiedAnnualDemand,LTS,RD,,E5COMGSL,,,2022,,,,,,0.0016
