PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2018,,,,,,15.5991
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2019,,,,,,17.048
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2020,,,,,,18.6546
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2021,,,,,,19.6992
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2022,,,,,,20.7834
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2023,,,,,,21.9071
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2024,,,,,,23.0704
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2025,,,,,,23.9475
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2026,,,,,,25.0269
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2027,,,,,,26.0661
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2028,,,,,,27.03
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2029,,,,,,27.8729
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2030,,,,,,28.5413
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2031,,,,,,28.9822
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2032,,,,,,29.1598
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2033,,,,,,29.077
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2034,,,,,,29.1598
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2035,,,,,,29.1598
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2036,,,,,,29.1598
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2037,,,,,,29.1598
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2038,,,,,,29.1598
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2039,,,,,,29.1598
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2040,,,,,,29.1598
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2041,,,,,,29.1598
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2042,,,,,,29.1598
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2043,,,,,,29.6164
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2044,,,,,,30.3552
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2045,,,,,,31.1563
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2046,,,,,,32.0038
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2047,,,,,,32.8848
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2048,,,,,,33.7893
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2049,,,,,,34.7091
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2050,,,,,,35.6371
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2018,,,,,,0.7835
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2019,,,,,,0.8562
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2020,,,,,,0.9369
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2021,,,,,,0.9893
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2022,,,,,,1.0437
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2023,,,,,,1.1002
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2024,,,,,,1.1587
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2025,,,,,,1.2361
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2026,,,,,,1.3087
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2027,,,,,,1.3887
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2028,,,,,,1.4793
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2029,,,,,,1.5839
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2030,,,,,,1.7071
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2031,,,,,,1.8532
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2032,,,,,,2.025
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2033,,,,,,2.222
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2034,,,,,,2.4383
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2035,,,,,,2.6647
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2036,,,,,,2.8903
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2037,,,,,,3.1072
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2038,,,,,,3.3108
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2039,,,,,,3.5006
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2040,,,,,,3.678
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2041,,,,,,3.8458
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2042,,,,,,4.0062
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2043,,,,,,4.1614
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2044,,,,,,4.313
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2045,,,,,,4.4621
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2046,,,,,,4.6093
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2047,,,,,,4.7552
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2048,,,,,,4.8998
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2049,,,,,,5.0432
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2050,,,,,,5.1855
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2018,,,,,,21.2715
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2019,,,,,,23.2473
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2020,,,,,,25.4381
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2021,,,,,,26.8626
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2022,,,,,,28.341
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2023,,,,,,29.8734
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2024,,,,,,31.4597
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2025,,,,,,32.6556
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2026,,,,,,34.1275
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2027,,,,,,35.5447
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2028,,,,,,36.859
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2029,,,,,,38.0084
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2030,,,,,,38.9198
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2031,,,,,,39.5211
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2032,,,,,,39.7633
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2033,,,,,,39.6505
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2034,,,,,,39.7633
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2035,,,,,,39.7633
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2036,,,,,,39.7633
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2037,,,,,,39.7633
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2038,,,,,,39.7633
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2039,,,,,,39.7633
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2040,,,,,,39.7633
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2041,,,,,,39.7633
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2042,,,,,,39.7633
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2043,,,,,,40.3861
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2044,,,,,,41.3935
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2045,,,,,,42.4859
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2046,,,,,,43.6415
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2047,,,,,,44.843
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2048,,,,,,46.0764
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2049,,,,,,47.3305
TotalAnnualMaxCapacity,LTS,RD,Techs_Motos,,,,2050,,,,,,48.5962
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2018,,,,,,8.4915
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2019,,,,,,9.2802
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2020,,,,,,10.1547
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2021,,,,,,10.7234
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2022,,,,,,11.3135
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2023,,,,,,11.9253
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2024,,,,,,12.5585
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2025,,,,,,13.0359
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2026,,,,,,13.6235
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2027,,,,,,14.1892
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2028,,,,,,14.7139
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2029,,,,,,15.1727
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2030,,,,,,15.5365
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2031,,,,,,15.7766
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2032,,,,,,15.8733
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2033,,,,,,15.8282
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2034,,,,,,15.8733
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2035,,,,,,15.8733
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2036,,,,,,15.8733
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2037,,,,,,15.8733
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2038,,,,,,15.8733
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2039,,,,,,15.8733
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2040,,,,,,15.8733
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2041,,,,,,15.8733
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2042,,,,,,15.8733
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2043,,,,,,16.1218
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2044,,,,,,16.524
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2045,,,,,,16.9601
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2046,,,,,,17.4214
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2047,,,,,,17.901
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2048,,,,,,18.3934
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2049,,,,,,18.894
TotalAnnualMaxCapacity,LTS,RD,Techs_SUV,,,,2050,,,,,,19.3993
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2018,,,,,,0.6854
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2019,,,,,,0.7491
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2020,,,,,,0.8197
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2021,,,,,,0.8656
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2022,,,,,,0.9132
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2023,,,,,,0.9625
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2024,,,,,,1.0137
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2025,,,,,,1.0815
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2026,,,,,,1.1449
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2027,,,,,,1.215
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2028,,,,,,1.2942
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2029,,,,,,1.3858
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2030,,,,,,1.4936
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2031,,,,,,1.6214
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2032,,,,,,1.7717
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2033,,,,,,1.944
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2034,,,,,,2.1333
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2035,,,,,,2.3314
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2036,,,,,,2.5288
TotalAnnualMaxCapacity,LTS,RD,Techs_Buses_Pub,,,,2037,,,,,,2.7185
