PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2018,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2019,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2020,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2021,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2022,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2023,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2024,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2025,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2026,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2027,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2028,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2029,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2030,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2031,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2032,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2033,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2034,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2035,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2036,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2037,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2038,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2039,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2040,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2041,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2042,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2043,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2044,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2045,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2046,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2047,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2048,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2049,,,,,,0.0
TotalAnnualMinCapacity,LTS,RD,TRANRAILINF,,,,2050,,,,,,0.0
