PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AD,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,COPROC,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,INCIN,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,AERO_PTAR_RU,,,,2033,,,,,,0.0
