PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,LTSNZ,RD,DIST_CRU,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,DIST_NGS,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,DIST_DSL,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,DIST_GSL,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,DIST_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,DIST_FOI,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,DIST_COK,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,DIST_KER,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,DIST_COA,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMP_ELE,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,EXTT_CRU,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,EXTT_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,PPHDAM,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPHROR,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPGEO,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPWNDON,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPWNDOFF,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPPVT,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPPVTHYD,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPPVTS,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPPVD,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPDHYD,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,DIST_FIR,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,DIST_BIM,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,DIST_BGS,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,SOIALL,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPRIC,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPBAN,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPSGC,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPCOC,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPTRVEG,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPCAF,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPLEG,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPROT,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPFRT,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPCER,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPOTP,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPLEC,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPCARAVI,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPCARBOV,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPCARPOR,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMPOTRCAR,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,INORG_RCY_OS,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,AD,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,COMPOST,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,LANDFILL,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,NO_CONTR_OD,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,COPROC,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,INCIN,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,OPEN_BURN,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,SIT_CLAN,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,AERO_PTAR,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,AERO_PTAR_RU,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,ANAE_LAGN,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,ANAE_LAGN_RU,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,SEPT_SYST,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,LATR,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,EFLT_DISC,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,SEWER_NO_T,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,RAW_MAT_CLK,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,RAW_MAT_CEM,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,IMP_STOR,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,REF_DSL,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,REF_GSL,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,REF_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,REF_FOI,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,PPBIM,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPBGS,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPCOA,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPCCTDSL,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPCCFOIDSL,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPCCTNGS,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPCCTNGSDSL,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPICEFOI,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPICEGASFOI,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPADSL,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPAFOI,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPANGS,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPDBGS,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPDDSL,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPDFOI,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPDNGS,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPDGSL,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPDGLP,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,PPDBIM,,,,,,,,,,31.356
CapacityToActivityUnit,LTSNZ,RD,ELE_TRANS,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,HYD_G_PROD,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,ELE_DIST,,,,,,,,,,1.0
CapacityToActivityUnit,LTSNZ,RD,HYD_DIST,,,,,,,,,,10.0
CapacityToActivityUnit,LTSNZ,RD,LU_FOR,,,,,,,,,,1.0
