PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2018,,,,,,1.1304
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2019,,,,,,1.3405
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2020,,,,,,1.156
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2021,,,,,,1.3159
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2022,,,,,,1.228
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2023,,,,,,1.2225
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2024,,,,,,1.2643
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2025,,,,,,1.3062
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2026,,,,,,1.329
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2027,,,,,,1.3518
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2028,,,,,,1.3746
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2029,,,,,,1.3974
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2030,,,,,,1.4202
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2031,,,,,,1.4029
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2032,,,,,,1.3855
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2033,,,,,,1.3682
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2034,,,,,,1.3508
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2035,,,,,,1.3335
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2036,,,,,,1.3161
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2037,,,,,,1.2988
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2038,,,,,,1.2814
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2039,,,,,,1.2641
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2040,,,,,,1.2467
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2041,,,,,,1.1317
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2042,,,,,,1.0167
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2043,,,,,,0.9016
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2044,,,,,,0.7866
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2045,,,,,,0.6716
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2046,,,,,,0.5565
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2047,,,,,,0.4415
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2048,,,,,,0.3265
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2049,,,,,,0.2115
SpecifiedAnnualDemand,LTSNZ,RD,,E5COMDSL,,,2050,,,,,,0.0964
