PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2018,,,,,,53.09
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2019,,,,,,52.69
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2020,,,,,,21.63
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2021,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2022,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2023,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2024,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2025,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2026,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2027,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2028,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2029,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2030,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2031,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2032,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2033,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2034,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2035,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2036,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2037,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2038,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2039,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2040,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2041,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2042,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2043,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2044,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2045,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2046,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2047,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2048,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2049,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,DIST_CRU,,,,2050,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2033,,,,,,1.8611
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2034,,,,,,3.7222
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2035,,,,,,5.5833
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2036,,,,,,7.4444
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2037,,,,,,9.3056
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2038,,,,,,11.1667
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2039,,,,,,13.0278
TotalTechnologyAnnualActivityUpperLimit,LTSNZ,RD,IMP_ELE,,,,2040,,,,,,14.8889
