Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2024,FixedOpex2024,VarOpex2024,Opex2024,Externalities2024,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
LTSNZ,0,,DIST_FIR,,2018,,12.4972,12.4972,12.4972,12.4972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSNZ,0,,DIST_FIR,,2019,,18.2867,18.2867,18.2867,18.2867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSNZ,0,,DIST_FIR,,2020,,18.5214,18.5214,18.5214,18.5214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSNZ,0,,DIST_FIR,,2021,,18.7544,18.7544,18.7544,18.7544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSNZ,0,,DIST_FIR,,2022,,18.9082,18.9082,18.9082,18.9082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSNZ,0,,DIST_FIR,,2023,,18.9082,18.9082,18.9082,18.9082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSNZ,0,,DIST_FIR,,2024,,18.9082,18.9082,18.9082,18.9082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSNZ,0,,DIST_FIR,,2025,,18.9082,18.9082,18.9082,18.9082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSNZ,0,,DIST_FIR,,2026,,18.53,18.53,18.53,18.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSNZ,0,,DIST_FIR,,2027,,18.1519,18.1519,18.1519,18.1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSNZ,0,,DIST_FIR,,2028,,17.7737,17.7737,17.7737,17.7737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSNZ,0,,DIST_FIR,,2029,,17.3955,17.3955,17.3955,17.3955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSNZ,0,,DIST_FIR,,2030,,17.0173,17.0173,17.0173,17.0173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSNZ,0,,DIST_FIR,,2031,,16.5446,16.5446,16.5446,16.5446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSNZ,0,,DIST_FIR,,2032,,16.072,16.072,16.072,16.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSNZ,0,,DIST_FIR,,2033,,15.5992,15.5992,15.5992,15.5992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
