REGION,EMISSION,YEAR,VALUE
RD,salud_residuos,2018,2.5576
RD,salud_residuos,2019,2.6705
RD,salud_residuos,2020,2.4831000000000003
RD,salud_residuos,2021,2.7297
RD,salud_residuos,2022,2.9083
RD,salud_residuos,2023,3.0136
RD,salud_residuos,2024,3.1009
RD,salud_residuos,2025,3.4015368884130623
RD,salud_residuos,2026,3.536885249979776
RD,salud_residuos,2027,3.671851993574093
RD,salud_residuos,2028,3.802404800262911
RD,salud_residuos,2029,3.936785417057044
RD,salud_residuos,2030,4.07235632096179
RD,salud_residuos,2031,4.21680785962356
RD,salud_residuos,2032,4.360413378931217
RD,salud_residuos,2033,4.5031471419531925
RD,salud_residuos,2034,4.644956233204416
RD,salud_residuos,2035,4.785793536422222
RD,salud_residuos,2036,4.941526922438724
RD,salud_residuos,2037,5.096681308449577
RD,salud_residuos,2038,5.2513286012550875
RD,salud_residuos,2039,5.405680988919891
RD,salud_residuos,2040,5.559499032549892
RD,salud_residuos,2041,5.730041193963265
RD,salud_residuos,2042,5.900747578653796
RD,salud_residuos,2043,6.071544005555146
RD,salud_residuos,2044,6.24254120499168
RD,salud_residuos,2045,6.4131241536082095
RD,salud_residuos,2046,6.6025171270038845
RD,salud_residuos,2047,6.792560742145691
RD,salud_residuos,2048,6.983134696155708
RD,salud_residuos,2049,7.174515701635993
RD,salud_residuos,2050,7.366352987207389
RD,RM,2018,0.2412
RD,RM,2019,0.2518
RD,RM,2020,0.2341
RD,RM,2021,0.2574
RD,RM,2022,0.2742
RD,RM,2023,0.2842
RD,RM,2024,0.2923999999999999
RD,RM,2025,0.323251336097029
RD,RM,2026,0.3297250473094159
RD,RM,2027,0.335915939321326
RD,RM,2028,0.3410841895199919
RD,RM,2029,0.3468814949383199
RD,RM,2030,0.352728200805136
RD,RM,2031,0.3600553317677739
RD,RM,2032,0.367067506376042
RD,RM,2033,0.3737679904463809
RD,RM,2034,0.3801606105052979
RD,RM,2035,0.38624968246822
RD,RM,2036,0.3947092984865089
RD,RM,2037,0.4029414524996959
RD,RM,2038,0.410945317345151
RD,RM,2039,0.4187205221592669
RD,RM,2040,0.426267114976345
RD,RM,2041,0.436377513698644
RD,RM,2042,0.446347426973744
RD,RM,2043,0.45617333489636
RD,RM,2044,0.4658520581624929
RD,RM,2045,0.4753807403321089
RD,RM,2046,0.4876282622805829
RD,RM,2047,0.499829399648412
RD,RM,2048,0.511979286145614
RD,RM,2049,0.5240732727189669
RD,RM,2050,0.536106920965947
RD,CO2e,2018,14.990560092247966
RD,CO2e,2019,16.30492422177555
RD,CO2e,2020,16.715995879261907
RD,CO2e,2021,18.670247058852308
