REGION,TECHNOLOGY,YEAR,VALUE
RD,PPHDAM,2018,40.599258
RD,PPHDAM,2019,40.599258
RD,PPHDAM,2020,40.599258
RD,PPHDAM,2021,40.599258
RD,PPHDAM,2022,40.599258
RD,PPHDAM,2023,40.599258
RD,PPHDAM,2024,40.599258
RD,PPHDAM,2025,40.599258
RD,PPHDAM,2026,41.90623730053514
RD,PPHDAM,2027,43.33621050997438
RD,PPHDAM,2028,44.797301059519725
RD,PPHDAM,2029,46.28993673337838
RD,PPHDAM,2030,47.83895575399647
RD,PPHDAM,2031,49.39690923800351
RD,PPHDAM,2032,50.987764662595055
RD,PPHDAM,2033,52.6119830305712
RD,PPHDAM,2034,54.27003399754789
RD,PPHDAM,2035,55.962396075925845
RD,PPHDAM,2036,57.68955684465661
RD,PPHDAM,2037,59.45201316499847
RD,PPHDAM,2038,61.250271402463405
RD,PPHDAM,2039,63.1184676006337
RD,PPHDAM,2040,64.99105389344892
RD,PPHDAM,2041,66.90105202419842
RD,PPHDAM,2042,68.85043747111153
RD,PPHDAM,2043,70.83693651873584
RD,PPHDAM,2044,72.86252258174973
RD,PPHDAM,2045,74.9277761603817
RD,PPHDAM,2046,77.03328930710369
RD,PPHDAM,2047,79.17966591543704
RD,PPHDAM,2048,81.41288673734893
RD,PPHDAM,2049,83.64433111834684
RD,PPHDAM,2050,85.91856387017853
RD,PPWNDON,2018,4.89541544
RD,PPWNDON,2019,9.749729011261207
RD,PPWNDON,2020,9.658424109955117
RD,PPWNDON,2021,9.568897926165931
RD,PPWNDON,2022,10.67443347984532
RD,PPWNDON,2023,10.571305007201978
RD,PPWNDON,2024,11.8913611
RD,PPWNDON,2025,31.322643269230767
RD,PPWNDON,2026,37.27273950759026
RD,PPWNDON,2027,43.187956448526606
RD,PPWNDON,2028,66.43468943742825
RD,PPWNDON,2029,66.24148515116724
RD,PPWNDON,2030,112.52028992856232
RD,PPWNDON,2031,122.00042095133308
RD,PPWNDON,2032,131.4222196310116
RD,PPWNDON,2033,140.78718918229367
RD,PPWNDON,2034,150.09386452353615
RD,PPWNDON,2035,159.3436726033295
RD,PPWNDON,2036,168.535890413318
RD,PPWNDON,2037,177.66987121444063
RD,PPWNDON,2038,186.74692755294043
RD,PPWNDON,2039,195.76578501562696
RD,PPWNDON,2040,204.72767988263809
RD,PPWNDON,2041,213.6310496172981
RD,PPWNDON,2042,222.47814740241105
RD,PPWNDON,2043,231.26636131840797
RD,PPWNDON,2044,239.9983301122592
RD,PPWNDON,2045,248.6723117664881
RD,PPWNDON,2046,257.2877824212272
RD,PPWNDON,2047,265.8470481949228
RD,PPWNDON,2048,274.34736303099885
RD,PPWNDON,2049,282.79149981343284
RD,PPWNDON,2050,291.17665883084567
RD,PPPVT,2018,1.4846832
RD,PPPVT,2019,3.1159856581291074
RD,PPPVT,2020,2.8328388297524847
RD,PPPVT,2021,5.363206128477334
RD,PPPVT,2022,5.9318149722369276
RD,PPPVT,2023,9.306179215979869
RD,PPPVT,2024,21.87911366
RD,PPPVT,2025,99.38157397946166
RD,PPPVT,2026,108.5164662074244
RD,PPPVT,2027,112.710328315155
RD,PPPVT,2028,119.45857821947952
RD,PPPVT,2029,126.1199226176808
RD,PPPVT,2030,132.6940865671642
RD,PPPVT,2031,139.17977108208956
RD,PPPVT,2032,145.57907275162648
RD,PPPVT,2033,151.8906271303738
RD,PPPVT,2034,158.11431309797166
RD,PPPVT,2035,164.25097475762217
RD,PPPVT,2036,170.30054728760044
RD,PPPVT,2037,176.26157654675342
RD,PPPVT,2038,182.13628679678533
RD,PPPVT,2039,187.92315843698177
RD,PPPVT,2040,193.62228046785307
RD,PPPVT,2041,199.2342593889527
RD,PPPVT,2042,204.759240499426
RD,PPPVT,2043,210.19561450280648
RD,PPPVT,2044,215.5457333333333
RD,PPPVT,2045,220.80792223497895
RD,PPPVT,2046,225.9824803291237
RD,PPPVT,2047,231.0697765116724
RD,PPPVT,2048,236.07016620264068
RD,PPPVT,2049,240.9818849502488
RD,PPPVT,2050,245.80741236127065
RD,PPBIM,2018,1.0548
RD,PPBIM,2019,1.0548
RD,PPBIM,2020,1.0548
RD,PPBIM,2021,1.0548
RD,PPBIM,2022,1.0548
RD,PPBIM,2023,1.0548
RD,PPBIM,2024,1.0548
RD,PPBIM,2025,1.0548
RD,PPBIM,2026,1.070487
RD,PPBIM,2027,3.9254414729238425
RD,PPBIM,2028,3.9821344156620744
RD,PPBIM,2029,4.038838200424162
RD,PPBIM,2030,4.095531143162392
RD,PPBIM,2031,4.152224085900626
RD,PPBIM,2032,4.208917028638857
RD,PPBIM,2033,4.265609971377089
RD,PPBIM,2034,4.322302914115321
RD,PPBIM,2035,4.378995856853553
RD,PPBIM,2036,4.43569964161564
RD,PPBIM,2037,4.492392584353873
RD,PPBIM,2038,4.549085527092104
RD,PPBIM,2039,4.605778469830336
RD,PPBIM,2040,4.662471412568568
RD,PPBIM,2041,4.7191643553068
RD,PPBIM,2042,4.775868140068886
RD,PPBIM,2043,4.8325610828071195
RD,PPBIM,2044,4.88925402554535
RD,PPBIM,2045,4.945946968283582
RD,PPBIM,2046,5.002639911021814
RD,PPBIM,2047,5.059332853760046
RD,PPBIM,2048,5.116025796498278
RD,PPBIM,2049,5.1727295812603655
RD,PPBIM,2050,5.229422523998597
RD,PPCOA,2018,25.584
RD,PPCOA,2019,88.40409945013843
RD,PPCOA,2020,88.41019803833005
RD,PPCOA,2021,88.41432818322563
RD,PPCOA,2022,88.41432818322563
RD,PPCOA,2023,88.41432818322563
RD,PPCOA,2024,88.41432818322563
RD,PPCOA,2025,88.41432818322563
RD,PPCOA,2026,89.7292217590725
RD,PPCOA,2027,91.04422315727082
RD,PPCOA,2028,92.3591167331177
RD,PPCOA,2029,93.67411813131602
RD,PPCOA,2030,94.98901170716287
RD,PPCOA,2031,96.30390528300975
RD,PPCOA,2032,97.61890668120807
RD,PPCOA,2033,98.93380025705494
RD,PPCOA,2034,100.24880165525326
RD,PPCOA,2035,101.56369523110016
RD,PPCOA,2036,102.87858880694702
RD,PPCOA,2037,104.19359020514534
RD,PPCOA,2038,105.5084837809922
RD,PPCOA,2039,106.82348517919051
RD,PPCOA,2040,108.1383787550374
RD,PPCOA,2041,109.45327233088427
RD,PPCOA,2042,110.7682737290826
RD,PPCOA,2043,112.08316730492946
RD,PPCOA,2044,113.39816870312778
RD,PPCOA,2045,114.71306227897465
RD,PPCOA,2046,116.02795585482151
RD,PPCOA,2047,117.34295725301985
RD,PPCOA,2048,118.65785082886671
RD,PPCOA,2049,119.96521741054345
