REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
RD,DIST_NGS,CO2e_sources,2018,1.4087320594138382
RD,DIST_NGS,CO2e_sources,2019,1.4030833933728195
RD,DIST_NGS,CO2e_sources,2020,1.5806170227133047
RD,DIST_NGS,CO2e_sources,2021,2.0072729233517013
RD,DIST_NGS,CO2e_sources,2022,1.90871495533934
RD,DIST_NGS,CO2e_sources,2023,1.875126530224988
RD,DIST_NGS,CO2e_sources,2024,2.6455689591286924
RD,DIST_NGS,CO2e_sources,2025,2.7157242993818147
RD,DIST_NGS,CO2e_sources,2026,2.797939686664232
RD,DIST_NGS,CO2e_sources,2027,2.880215844279793
RD,DIST_NGS,CO2e_sources,2028,2.962693890523824
RD,DIST_NGS,CO2e_sources,2029,3.045055481524721
RD,DIST_NGS,CO2e_sources,2030,3.1274116557409664
RD,DIST_NGS,CO2e_sources,2031,3.208729924148882
RD,DIST_NGS,CO2e_sources,2032,3.2900481925567973
RD,DIST_NGS,CO2e_sources,2033,3.3713608509647126
RD,DIST_NGS,CO2e_sources,2034,3.452679119372628
RD,DIST_NGS,CO2e_sources,2035,3.533997387780544
RD,DIST_NGS,CO2e_sources,2036,3.6153156561884585
RD,DIST_NGS,CO2e_sources,2037,3.696633924596374
RD,DIST_NGS,CO2e_sources,2038,3.7779521930042894
RD,DIST_NGS,CO2e_sources,2039,3.859270461412205
RD,DIST_NGS,CO2e_sources,2040,3.9405831198201207
RD,DIST_NGS,CO2e_sources,2041,4.0193460736787765
RD,DIST_NGS,CO2e_sources,2042,4.098109027537433
RD,DIST_NGS,CO2e_sources,2043,4.176871981396089
RD,DIST_NGS,CO2e_sources,2044,4.256775387103732
RD,DIST_NGS,CO2e_sources,2045,4.336665022193712
RD,DIST_NGS,CO2e_sources,2046,4.416578627916894
RD,DIST_NGS,CO2e_sources,2047,4.496497526864087
RD,DIST_NGS,CO2e_sources,2048,4.5763957464142715
RD,DIST_NGS,CO2e_sources,2049,4.656290242565228
RD,DIST_NGS,CO2e_sources,2050,4.736217723489346
RD,DIST_COK,CO2e_sources,2018,0.776829339
RD,DIST_COK,CO2e_sources,2019,1.646680944469938
RD,DIST_COK,CO2e_sources,2020,1.6091485702214228
RD,DIST_COK,CO2e_sources,2021,1.8172132463116024
RD,DIST_COK,CO2e_sources,2022,1.832116397990288
RD,DIST_COK,CO2e_sources,2023,1.8267381367070936
RD,DIST_COK,CO2e_sources,2024,1.89368151750804
RD,DIST_COK,CO2e_sources,2025,1.9609609638937693
RD,DIST_COK,CO2e_sources,2026,2.0269397963014395
RD,DIST_COK,CO2e_sources,2027,2.0929186287091
RD,DIST_COK,CO2e_sources,2028,2.1588974611167697
RD,DIST_COK,CO2e_sources,2029,2.2248762935244306
RD,DIST_COK,CO2e_sources,2030,2.2908551259321004
RD,DIST_COK,CO2e_sources,2031,2.3506594466835877
RD,DIST_COK,CO2e_sources,2032,2.4104637674350737
RD,DIST_COK,CO2e_sources,2033,2.4702680881865606
RD,DIST_COK,CO2e_sources,2034,2.530072408938048
