REGION,TECHNOLOGY,YEAR,VALUE
RD,DIST_BIM,2018,180.0441633427915
RD,DIST_BIM,2019,135.43447436781727
RD,DIST_BIM,2020,237.93107832160615
RD,DIST_BIM,2021,535.2934435557956
RD,DIST_BIM,2022,423.6962526407258
RD,DIST_BIM,2023,407.7471806250707
RD,DIST_BIM,2024,384.24657647418394
RD,DIST_BIM,2025,373.9520809845289
RD,DIST_BIM,2026,374.3693493860858
RD,DIST_BIM,2027,846.3618963445093
RD,DIST_BIM,2028,813.323759576013
RD,DIST_BIM,2029,780.9372014975802
RD,DIST_BIM,2030,749.2022221092109
RD,DIST_BIM,2031,717.8568306402384
RD,DIST_BIM,2032,687.157511579313
RD,DIST_BIM,2033,657.1230239538861
RD,DIST_BIM,2034,627.753367763956
RD,DIST_BIM,2035,599.0650667289432
RD,DIST_BIM,2036,571.0246263907335
RD,DIST_BIM,2037,543.6490174880204
RD,DIST_BIM,2038,516.956430147251
RD,DIST_BIM,2039,490.90702941975275
RD,DIST_BIM,2040,465.5254678042549
RD,DIST_BIM,2041,439.67113543227833
RD,DIST_BIM,2042,414.56820208592734
RD,DIST_BIM,2043,390.1812500390976
RD,DIST_BIM,2044,366.53228838992766
RD,DIST_BIM,2045,343.61859691032
RD,DIST_BIM,2046,321.45424318595246
RD,DIST_BIM,2047,300.008233946682
RD,DIST_BIM,2048,279.2999131898812
RD,DIST_BIM,2049,259.3268626026453
RD,DIST_BIM,2050,240.10108850025995
RD,DIST_NGS,2018,135.36634425458425
RD,DIST_NGS,2019,116.21332077800616
RD,DIST_NGS,2020,180.5002654957311
RD,DIST_NGS,2021,332.1660995353925
RD,DIST_NGS,2022,702.5840254502205
RD,DIST_NGS,2023,542.6736507446318
RD,DIST_NGS,2024,612.9137212441286
RD,DIST_NGS,2025,557.0720235293425
RD,DIST_NGS,2026,566.9842734385916
RD,DIST_NGS,2027,576.5052355689446
RD,DIST_NGS,2028,585.6522311649376
RD,DIST_NGS,2029,594.3666048804279
RD,DIST_NGS,2030,602.6761973092695
RD,DIST_NGS,2031,610.3736432362708
RD,DIST_NGS,2032,617.6728266247184
RD,DIST_NGS,2033,624.5611239198942
RD,DIST_NGS,2034,631.0463472829823
RD,DIST_NGS,2035,637.133742954567
RD,DIST_NGS,2036,642.8108569658292
RD,DIST_NGS,2037,648.0838438250039
RD,DIST_NGS,2038,652.9594378497253
RD,DIST_NGS,2039,657.4243153570744
RD,DIST_NGS,2040,661.4841239923359
RD,DIST_NGS,2041,664.7253286449969
RD,DIST_NGS,2042,667.5680810722073
RD,DIST_NGS,2043,670.0268508909035
RD,DIST_NGS,2044,672.266997765805
RD,DIST_NGS,2045,674.107908369662
RD,DIST_NGS,2046,675.5633309094057
RD,DIST_NGS,2047,676.6146733071047
RD,DIST_NGS,2048,677.265782628435
RD,DIST_NGS,2049,677.5275802149724
RD,DIST_NGS,2050,677.3888863848327
RD,DIST_COA,2018,165.94305531330602
RD,DIST_COA,2019,170.51237981504974
RD,DIST_COA,2020,395.0372994373705
