REGION,TECHNOLOGY,YEAR,VALUE
RD,PPHDAM,2026,35.82992061473883
RD,PPHDAM,2027,41.5720430582422
RD,PPHDAM,2028,42.55720764822088
RD,PPHDAM,2029,43.55869225277764
RD,PPHDAM,2030,45.823705462789285
RD,PPHDAM,2031,45.641234115201854
RD,PPHDAM,2032,46.69456521900286
RD,PPHDAM,2033,47.765592621133486
RD,PPHDAM,2034,48.85467604224776
RD,PPHDAM,2035,49.962184072452885
RD,PPHDAM,2036,51.0884944307868
RD,PPHDAM,2037,52.23399423349238
RD,PPHDAM,2038,53.399080271481736
RD,PPHDAM,2039,56.3013132481864
RD,PPHDAM,2040,55.82799199815068
RD,PPHDAM,2041,57.05545718729188
RD,PPHDAM,2042,58.376992642834246
RD,PPHDAM,2043,59.57511867133846
RD,PPHDAM,2044,60.867874573046414
RD,PPHDAM,2045,62.183323923390255
RD,PPHDAM,2046,63.52195310049039
RD,PPHDAM,2047,64.88426116342445
RD,PPHDAM,2048,68.5870244864862
RD,PPHDAM,2049,67.73181277454461
RD,PPHDAM,2050,69.16973467353925
RD,PPWNDON,2019,317.7738152012926
RD,PPWNDON,2020,0.0338510266150198
RD,PPWNDON,2021,0.1436111498328232
RD,PPWNDON,2022,72.18902292736155
RD,PPWNDON,2023,0.017552543499743
RD,PPWNDON,2024,80.66884252801226
RD,PPWNDON,2025,139.77675692307653
RD,PPWNDON,2026,320.1281947091468
RD,PPWNDON,2027,316.97802546881
RD,PPWNDON,2028,1221.344294058553
RD,PPWNDON,2030,2393.8379739762727
RD,PPWNDON,2031,505.92967570799823
RD,PPWNDON,2032,504.9887880341876
RD,PPWNDON,2033,504.18691228951513
RD,PPWNDON,2034,503.2860307692304
RD,PPWNDON,2035,502.48400406620794
RD,PPWNDON,2036,501.6325580750087
RD,PPWNDON,2037,500.69209230769326
RD,PPWNDON,2038,499.88979465652415
RD,PPWNDON,2039,1057.1860726174702
RD,PPWNDON,2040,498.24840147335135
RD,PPWNDON,2041,497.5170765200217
RD,PPWNDON,2042,637.4001649772297
RD,PPWNDON,2043,495.5796255893252
RD,PPWNDON,2044,665.0430382787265
RD,PPWNDON,2045,623.4841370257546
RD,PPWNDON,2046,792.1374755309973
RD,PPWNDON,2047,790.8176883531055
RD,PPWNDON,2048,1651.592460878302
RD,PPWNDON,2049,490.44411339935255
RD,PPWNDON,2050,2801.9628507749685
RD,PPPVT,2019,113.17231628990577
RD,PPPVT,2020,0.1024807358628637
RD,PPPVT,2021,172.69733519885747
RD,PPPVT,2022,47.625046840621046
RD,PPPVT,2023,229.40098166792745
RD,PPPVT,2024,818.6250320320687
RD,PPPVT,2025,1054.4889205714192
RD,PPPVT,2026,527.3732452114423
RD,PPPVT,2027,261.3290174480168
RD,PPPVT,2028,399.9072664625588
RD,PPPVT,2029,396.3743590062507
RD,PPPVT,2030,392.7665675708003
RD,PPPVT,2031,392.2018926776378
RD,PPPVT,2032,391.6864538365856
RD,PPPVT,2033,391.1628730227069
RD,PPPVT,2034,390.5983661436405
RD,PPPVT,2035,390.1157266153208
RD,PPPVT,2036,389.5921458014408
RD,PPPVT,2037,388.9948396096444
RD,PPPVT,2038,388.5120320672296
RD,PPPVT,2039,634.4657274019063
RD,PPPVT,2040,387.67917202118895
RD,PPPVT,2041,833.4665170994349
RD,PPPVT,2042,514.6390486483032
RD,PPPVT,2043,1030.396756765511
RD,PPPVT,2044,2790.1309892061067
RD,PPPVT,2045,1372.6652584588453
RD,PPPVT,2046,881.9202350746256
RD,PPPVT,2047,632.2262252200501
RD,PPPVT,2048,766.3805221153875
RD,PPPVT,2049,765.333415341562
RD,PPPVT,2050,764.2604119626243
RD,INORG_RCY_OS,2019,0.8342250000000009
RD,INORG_RCY_OS,2021,1.0914750000000002
RD,INORG_RCY_OS,2022,1.0620749999999992
RD,INORG_RCY_OS,2023,0.8084999999999996
RD,INORG_RCY_OS,2024,0.7460249999999994
RD,INORG_RCY_OS,2025,1.585490865322854
RD,INORG_RCY_OS,2026,0.6918633131769303
RD,INORG_RCY_OS,2027,0.685897475911419
RD,INORG_RCY_OS,2028,0.6480894272245012
RD,INORG_RCY_OS,2029,0.680081498321588
RD,INORG_RCY_OS,2030,0.6826168680292573
RD,INORG_RCY_OS,2031,0.747919286791313
RD,INORG_RCY_OS,2032,0.7405680978084715
RD,INORG_RCY_OS,2033,0.7292870879203003
RD,INORG_RCY_OS,2034,0.7258002013343802
RD,INORG_RCY_OS,2035,0.7144821643914943
RD,INORG_RCY_OS,2036,0.8171995055717468
RD,INORG_RCY_OS,2037,0.8092376033578486
RD,INORG_RCY_OS,2038,0.8091282899809659
RD,INORG_RCY_OS,2039,0.3148740243982175
RD,INORG_RCY_OS,2040,0.3075010175174787
RD,INORG_RCY_OS,2041,0.4144950053782205
RD,INORG_RCY_OS,2042,0.4112260218840669
RD,INORG_RCY_OS,2043,0.407740788110835
RD,INORG_RCY_OS,2044,0.4040508850849658
RD,INORG_RCY_OS,2045,0.4001674892634103
RD,INORG_RCY_OS,2046,0.517407587483038
RD,INORG_RCY_OS,2047,0.5184958732420516
RD,INORG_RCY_OS,2048,0.5193541882548002
RD,INORG_RCY_OS,2049,0.5199857903159381
RD,INORG_RCY_OS,2050,0.5203975251703019
RD,LANDFILL,2019,0.603225
RD,LANDFILL,2021,0.7895999999999993
RD,LANDFILL,2022,0.7683733586305306
RD,LANDFILL,2023,0.5840266413694706
RD,LANDFILL,2024,0.5391749999999977
RD,LANDFILL,2025,1.0810260076846887
RD,LANDFILL,2026,0.6687020299202521
RD,LANDFILL,2027,0.6714606420559776
RD,LANDFILL,2028,0.6657272318468077
RD,LANDFILL,2029,0.679294363279799
RD,LANDFILL,2030,0.687076215848987
RD,LANDFILL,2031,0.7149185595804155
RD,LANDFILL,2032,0.7169078254546559
RD,LANDFILL,2033,0.7193875412357202
RD,LANDFILL,2034,0.7225829321479643
RD,LANDFILL,2035,0.7235203093938927
RD,LANDFILL,2036,0.7675463621551925
RD,LANDFILL,2037,0.7728318614799556
RD,LANDFILL,2038,0.7758410824842376
RD,LANDFILL,2039,0.4260090074248402
RD,LANDFILL,2040,0.4269269913227237
RD,LANDFILL,2041,0.4766497655781017
RD,LANDFILL,2042,0.4797123492555566
RD,LANDFILL,2043,0.4841503657224082
RD,LANDFILL,2044,0.4857552476471656
RD,LANDFILL,2045,0.4895772945565842
RD,LANDFILL,2046,0.5441949352023688
RD,LANDFILL,2047,0.5510365682016576
RD,LANDFILL,2048,0.555450313496466
RD,LANDFILL,2049,1.2668861442809132
RD,LANDFILL,2050,0.5667376397304639
RD,AERO_PTAR,2019,10.619999999999992
RD,AERO_PTAR,2021,13.86000000000001
RD,AERO_PTAR,2022,13.409999999999997
RD,AERO_PTAR,2023,10.350000000000009
RD,AERO_PTAR,2024,9.450000000000008
RD,AERO_PTAR,2025,21.06201114356877
RD,AERO_PTAR,2026,9.722381722110756
RD,AERO_PTAR,2027,9.581293259738745
RD,AERO_PTAR,2028,9.307285013790436
RD,AERO_PTAR,2029,9.558644797926755
RD,AERO_PTAR,2030,9.820666760630017
RD,AERO_PTAR,2031,10.465173955178088
RD,AERO_PTAR,2032,10.529864154471722
RD,AERO_PTAR,2033,10.402689586575836
RD,AERO_PTAR,2034,10.35999472751342
RD,AERO_PTAR,2035,10.226989989380588
RD,AERO_PTAR,2036,11.729539841840912
RD,AERO_PTAR,2037,11.533218897146092
RD,AERO_PTAR,2038,11.594522070663738
RD,AERO_PTAR,2039,17.0970291487422
RD,AERO_PTAR,2040,5.254155323649528
RD,AERO_PTAR,2041,22.289246813918886
RD,AERO_PTAR,2042,21.83953491799524
