REGION,TIMESLICE,FUEL,YEAR,VALUE
RD,All,E5COMDSL,2018,1.130436
RD,All,E5COMDSL,2019,1.34051519973021
RD,All,E5COMDSL,2020,1.15598149483875
RD,All,E5COMDSL,2021,1.3158819494067
RD,All,E5COMDSL,2022,1.22802746872552
RD,All,E5COMDSL,2023,1.22254665169204
RD,All,E5COMDSL,2024,1.26429917581606
RD,All,E5COMDSL,2025,1.3061603371669
RD,All,E5COMDSL,2026,1.34694080441192
RD,All,E5COMDSL,2027,1.38772127165693
RD,All,E5COMDSL,2028,1.42850173890195
RD,All,E5COMDSL,2029,1.46928220614696
RD,All,E5COMDSL,2030,1.51006267339198
RD,All,E5COMDSL,2031,1.54653323223098
RD,All,E5COMDSL,2032,1.58300379106998
RD,All,E5COMDSL,2033,1.61947434990898
RD,All,E5COMDSL,2034,1.6559449087479798
RD,All,E5COMDSL,2035,1.69241546758699
RD,All,E5COMDSL,2036,1.72888602642599
RD,All,E5COMDSL,2037,1.76535658526499
RD,All,E5COMDSL,2038,1.8018271441039897
RD,All,E5COMDSL,2039,1.8382977029429897
RD,All,E5COMDSL,2040,1.8747682617819896
RD,All,E5COMDSL,2041,1.90158750048656
RD,All,E5COMDSL,2042,1.92840673919112
RD,All,E5COMDSL,2043,1.95522597789569
RD,All,E5COMDSL,2044,1.98204521660025
RD,All,E5COMDSL,2045,2.0088644553048094
RD,All,E5COMDSL,2046,2.03568369400938
RD,All,E5COMDSL,2047,2.06250293271394
RD,All,E5COMDSL,2048,2.0893221714185106
RD,All,E5COMDSL,2049,2.11614141012307
RD,All,E5COMDSL,2050,2.14296064882763
RD,All,E5COMGSL,2018,0.03223836
RD,All,E5COMGSL,2019,0.0011545953256971
RD,All,E5COMGSL,2020,0.0010665218885846
RD,All,E5COMGSL,2021,0.001305187115188
RD,All,E5COMGSL,2022,0.0016135484443297
RD,All,E5COMGSL,2023,0.0016063470062322
RD,All,E5COMGSL,2024,0.0016612071148721
RD,All,E5COMGSL,2025,0.001716209965782
RD,All,E5COMGSL,2026,0.0017697928547303
RD,All,E5COMGSL,2027,0.0018233757436786
RD,All,E5COMGSL,2028,0.001876958632627
RD,All,E5COMGSL,2029,0.0019305415215754
RD,All,E5COMGSL,2030,0.0019841244105237
RD,All,E5COMGSL,2031,0.0020320443593662
RD,All,E5COMGSL,2032,0.0020799643082087
RD,All,E5COMGSL,2033,0.0021278842570511
RD,All,E5COMGSL,2034,0.0021758042058937
RD,All,E5COMGSL,2035,0.0022237241547361
RD,All,E5COMGSL,2036,0.0022716441035787
RD,All,E5COMGSL,2037,0.0023195640524211
RD,All,E5COMGSL,2038,0.0023674840012637
RD,All,E5COMGSL,2039,0.0024154039501061
RD,All,E5COMGSL,2040,0.0024633238989485
RD,All,E5COMGSL,2041,0.0024985626391169
RD,All,E5COMGSL,2042,0.002533801379285
RD,All,E5COMGSL,2043,0.0025690401194533
RD,All,E5COMGSL,2044,0.0026042788596215
RD,All,E5COMGSL,2045,0.0026395175997897
RD,All,E5COMGSL,2046,0.002674756339958
RD,All,E5COMGSL,2047,0.0027099950801262
RD,All,E5COMGSL,2048,0.0027452338202943
RD,All,E5COMGSL,2049,0.0027804725604625
RD,All,E5COMGSL,2050,0.0028157113006308
RD,All,E5COMNGS,2018,0.09504036
RD,All,E5COMLPG,2018,2.09633076
RD,All,E5COMLPG,2019,2.57732989885163
RD,All,E5COMLPG,2020,2.26520084281075
RD,All,E5COMLPG,2021,2.51381917100904
RD,All,E5COMLPG,2022,2.4881653494429
RD,All,E5COMLPG,2023,2.4770604031964494
RD,All,E5COMLPG,2024,2.56165719473646
RD,All,E5COMLPG,2025,2.64647410137186
RD,All,E5COMLPG,2026,2.72910136185036
RD,All,E5COMLPG,2027,2.81172862232886
RD,All,E5COMLPG,2028,2.89435588280736
RD,All,E5COMLPG,2029,2.97698314328586
RD,All,E5COMLPG,2030,3.05961040376436
RD,All,E5COMLPG,2031,3.1335051521222295
RD,All,E5COMLPG,2032,3.2073999004801
RD,All,E5COMLPG,2033,3.28129464883797
RD,All,E5COMLPG,2034,3.35518939719583
RD,All,E5COMLPG,2035,3.4290841455537
RD,All,E5COMLPG,2036,3.5029788939115702
RD,All,E5COMLPG,2037,3.5768736422694403
RD,All,E5COMLPG,2038,3.6507683906273
RD,All,E5COMLPG,2039,3.7246631389851697
RD,All,E5COMLPG,2040,3.79855788734304
RD,All,E5COMLPG,2041,3.85289763310816
RD,All,E5COMLPG,2042,3.9072373788732895
RD,All,E5COMLPG,2043,3.9615771246384095
RD,All,E5COMLPG,2044,4.01591687040354
RD,All,E5COMLPG,2045,4.07025661616866
RD,All,E5COMLPG,2046,4.12459636193379
RD,All,E5COMLPG,2047,4.1789361076989096
RD,All,E5COMLPG,2048,4.23327585346403
RD,All,E5COMLPG,2049,4.28761559922916
RD,All,E5COMLPG,2050,4.34195534499428
RD,All,E5COMELE,2018,16.1066196
RD,All,E5COMELE,2019,15.85141820049
RD,All,E5COMELE,2020,15.7968044557813
RD,All,E5COMELE,2021,17.6971886344105
RD,All,E5COMELE,2022,18.2137327542812
RD,All,E5COMELE,2023,18.1324429303438
RD,All,E5COMELE,2024,18.7517037657719
RD,All,E5COMELE,2025,19.3725758757576
RD,All,E5COMELE,2026,19.7402114569572
RD,All,E5COMELE,2027,20.1078470381568
RD,All,E5COMELE,2028,20.4754826193564
RD,All,E5COMELE,2029,20.843118200556
RD,All,E5COMELE,2030,21.2107537817556
RD,All,E5COMELE,2031,21.7312481174202
RD,All,E5COMELE,2032,22.251742453084695
RD,All,E5COMELE,2033,22.7722367887492
RD,All,E5COMELE,2034,23.292731124413695
RD,All,E5COMELE,2035,23.8132254600782
RD,All,E5COMELE,2036,24.333719795742695
RD,All,E5COMELE,2037,24.8542141314072
RD,All,E5COMELE,2038,25.374708467071695
RD,All,E5COMELE,2039,25.8952028027362
RD,All,E5COMELE,2040,26.415697138400695
RD,All,E5COMELE,2041,26.793583249204
RD,All,E5COMELE,2042,27.1714693600073
RD,All,E5COMELE,2043,27.5493554708105
RD,All,E5COMELE,2044,27.9272415816138
RD,All,E5COMELE,2045,28.305127692417095
RD,All,E5COMELE,2046,28.6830138032204
RD,All,E5COMELE,2047,29.0608999140237
RD,All,E5COMELE,2048,29.438786024827
RD,All,E5COMELE,2049,29.816672135630295
RD,All,E5COMELE,2050,30.1945582464336
RD,All,E5COMFIR,2018,0.02470212
RD,All,E5COMFIR,2019,0.0025934812963599
RD,All,E5COMFIR,2020,0.0026267697958692
RD,All,E5COMFIR,2021,0.0026598029270056
RD,All,E5COMFIR,2022,0.002681616242827
RD,All,E5COMFIR,2023,0.002669647904695
RD,All,E5COMFIR,2024,0.0027608219620524
RD,All,E5COMFIR,2025,0.0028522332481033
RD,All,E5COMFIR,2026,0.0029412846464958
RD,All,E5COMFIR,2027,0.0030303360448882
RD,All,E5COMFIR,2028,0.0031193874432806
RD,All,E5COMFIR,2029,0.003208438841673
RD,All,E5COMFIR,2030,0.0032974902400654
RD,All,E5COMFIR,2031,0.0033771301874268
RD,All,E5COMFIR,2032,0.0034567701347882
RD,All,E5COMFIR,2033,0.0035364100821495
RD,All,E5COMFIR,2034,0.003616050029511
RD,All,E5COMFIR,2035,0.0036956899768724
RD,All,E5COMFIR,2036,0.0037753299242338
RD,All,E5COMFIR,2037,0.0038549698715951
RD,All,E5COMFIR,2038,0.0039346098189566
RD,All,E5COMFIR,2039,0.0040142497663179
RD,All,E5COMFIR,2040,0.0040938897136793
RD,All,E5COMFIR,2041,0.0041524542881388
RD,All,E5COMFIR,2042,0.0042110188625981
RD,All,E5COMFIR,2043,0.0042695834370577
RD,All,E5COMFIR,2044,0.0043281480115171
RD,All,E5COMFIR,2045,0.0043867125859765
RD,All,E5COMFIR,2046,0.0044452771604359
RD,All,E5COMFIR,2047,0.0045038417348954
RD,All,E5COMFIR,2048,0.0045624063093549
RD,All,E5COMFIR,2049,0.0046209708838142
RD,All,E5COMFIR,2050,0.0046795354582736
RD,All,E5INDDSL,2018,4.92283944
RD,All,E5INDDSL,2019,7.14324582542041
RD,All,E5INDDSL,2020,6.159915224334649
RD,All,E5INDDSL,2021,7.0119818437995
RD,All,E5INDDSL,2022,6.54382888850542
