REGION,TECHNOLOGY,YEAR,VALUE
RD,PPHDAM,2026,5.528759285824202
RD,PPHDAM,2027,6.542806807702332
RD,PPHDAM,2028,6.822655782427758
RD,PPHDAM,2029,7.104864325919171
RD,PPHDAM,2030,7.596195817152352
RD,PPHDAM,2031,7.681566135214402
RD,PPHDAM,2032,7.971499327473502
RD,PPHDAM,2033,8.264091203889965
RD,PPHDAM,2034,8.559424903489049
RD,PPHDAM,2035,8.857587134579662
RD,PPHDAM,2036,9.158668089914956
RD,PPHDAM,2037,9.462761372798868
RD,PPHDAM,2038,9.769963933711322
RD,PPHDAM,2039,10.397492882571262
RD,PPHDAM,2040,10.401244880929976
RD,PPHDAM,2041,10.718663240243098
RD,PPHDAM,2042,11.05339499076294
RD,PPHDAM,2043,11.364289894984989
RD,PPHDAM,2044,11.692661044038084
RD,PPHDAM,2045,12.024917485500914
RD,PPHDAM,2046,12.361182020589952
RD,PPHDAM,2047,12.701580650267736
RD,PPHDAM,2048,13.502228695064373
RD,PPHDAM,2049,13.405163818274712
RD,PPHDAM,2050,13.759091541131898
RD,PPWNDON,2032,7.713482353011375
RD,PPWNDON,2033,15.035742674024808
RD,PPWNDON,2034,21.981641861996128
RD,PPWNDON,2035,28.576758447984947
RD,PPWNDON,2036,34.83206110588775
RD,PPWNDON,2037,40.75904993062246
RD,PPWNDON,2038,46.39153894413668
RD,PPWNDON,2039,109.58672269327748
RD,PPWNDON,2040,56.798974027017614
RD,PPWNDON,2041,61.61421709677883
RD,PPWNDON,2042,84.91488180689646
RD,PPWNDON,2043,70.44733625344209
RD,PPWNDON,2044,100.19328577226696
RD,PPWNDON,2045,98.98264004029232
RD,PPWNDON,2046,131.8686800879367
RD,PPWNDON,2047,137.45936733429258
RD,PPWNDON,2048,298.63556527961543
RD,PPWNDON,2049,91.94894353231432
RD,PPWNDON,2050,543.0985105052184
RD,PPPVT,2032,5.982838869241548
RD,PPPVT,2033,11.665166546458114
RD,PPPVT,2034,17.059868288669506
RD,PPPVT,2035,22.18626423136297
RD,PPPVT,2036,27.052266067029358
RD,PPPVT,2037,31.66628819186621
RD,PPPVT,2038,36.05528910286441
RD,PPPVT,2039,65.76800577313303
RD,PPPVT,2040,44.194380066917134
RD,PPPVT,2041,103.21934532712308
RD,PPPVT,2042,68.56056272082296
RD,PPPVT,2043,146.4723387528216
RD,PPPVT,2044,420.3523312823901
RD,PPPVT,2045,217.92059028477664
RD,PPPVT,2046,146.81499226403278
RD,PPPVT,2047,109.89311216834136
RD,PPPVT,2048,138.57442793091073
RD,PPPVT,2049,143.4854595417142
RD,PPPVT,2050,148.13497304584354
RD,INORG_RCY_OS,2019,0.1619282840620366
RD,INORG_RCY_OS,2021,0.2126026673060061
RD,INORG_RCY_OS,2022,0.2072107713469563
RD,INORG_RCY_OS,2023,0.1579810140987498
RD,INORG_RCY_OS,2024,0.1459866814603903
RD,INORG_RCY_OS,2025,0.3106901481022829
RD,INORG_RCY_OS,2026,0.1357557980336145
RD,INORG_RCY_OS,2027,0.1347545944166189
RD,INORG_RCY_OS,2028,0.1274790894952351
RD,INORG_RCY_OS,2029,0.1339242719268741
RD,INORG_RCY_OS,2030,0.1345691800238349
RD,INORG_RCY_OS,2031,0.1475946831534396
RD,INORG_RCY_OS,2032,0.1462873045542016
RD,INORG_RCY_OS,2033,0.1441933273410882
RD,INORG_RCY_OS,2034,0.1436312988412188
RD,INORG_RCY_OS,2035,0.1415109646290538
RD,INORG_RCY_OS,2036,0.1619853510023904
RD,INORG_RCY_OS,2037,0.1605298393199469
RD,INORG_RCY_OS,2038,0.1606249933381636
RD,INORG_RCY_OS,2039,0.0625508665185618
RD,INORG_RCY_OS,2040,0.0611264671318772
RD,INORG_RCY_OS,2041,0.0824469279318619
RD,INORG_RCY_OS,2042,0.0818455497491209
RD,INORG_RCY_OS,2043,0.0811980226577946
RD,INORG_RCY_OS,2044,0.0805067487563951
RD,INORG_RCY_OS,2045,0.0797740522316082
RD,INORG_RCY_OS,2046,0.1031966295194359
RD,INORG_RCY_OS,2047,0.1034619500788476
RD,INORG_RCY_OS,2048,0.1036792608750323
RD,INORG_RCY_OS,2049,0.1038492497193373
RD,INORG_RCY_OS,2050,0.1039733235509189
RD,LANDFILL,2022,0.0095146542642964
RD,LANDFILL,2023,0.0141194550158953
RD,LANDFILL,2024,0.0190909243884094
RD,LANDFILL,2025,0.0498400907313425
RD,LANDFILL,2026,0.0376424652264628
RD,LANDFILL,2027,0.0443124579416439
RD,LANDFILL,2028,0.0500855895654271
RD,LANDFILL,2029,0.0570842731912625
RD,LANDFILL,2030,0.0634967432789855
RD,LANDFILL,2031,0.0717763671396134
RD,LANDFILL,2032,0.077426016882263
RD,LANDFILL,2033,0.0829021901784293
RD,LANDFILL,2034,0.0882528066194766
RD,LANDFILL,2035,0.0931185725742166
RD,LANDFILL,2036,0.1035851921381464
RD,LANDFILL,2037,0.1089017712479253
RD,LANDFILL,2038,0.1137269436075019
RD,LANDFILL,2039,0.0647482385763777
RD,LANDFILL,2040,0.0670844418170588
RD,LANDFILL,2041,0.0772332789905631
RD,LANDFILL,2042,0.0799683221730517
RD,LANDFILL,2043,0.0828600599445931
RD,LANDFILL,2044,0.0851909671475036
RD,LANDFILL,2045,0.0878350031717204
RD,LANDFILL,2046,0.0997233977026962
RD,LANDFILL,2047,0.1029920932126102
RD,LANDFILL,2048,0.1057514396246865
RD,LANDFILL,2049,0.2454026671448574
RD,LANDFILL,2050,0.1115703356467155
RD,AERO_PTAR,2032,0.1608390587270346
RD,AERO_PTAR,2033,0.3102265448169686
RD,AERO_PTAR,2034,0.4524856242171119
RD,AERO_PTAR,2035,0.5816189574424379
RD,AERO_PTAR,2036,0.8144687619216584
RD,AERO_PTAR,2037,0.9388665251790947
RD,AERO_PTAR,2038,1.0760126090380204
RD,AERO_PTAR,2039,1.7722588678862017
RD,AERO_PTAR,2040,0.5989595368081644
RD,AERO_PTAR,2041,2.7603765919404
RD,AERO_PTAR,2042,2.9094776377182248
RD,AERO_PTAR,2043,2.6198989962811954
RD,AERO_PTAR,2044,2.643940711232436
RD,AERO_PTAR,2045,4.872788385350502
RD,AERO_PTAR,2046,3.23606770148991
RD,AERO_PTAR,2047,3.3787169666040935
RD,AERO_PTAR,2048,3.442021754420755
RD,AERO_PTAR,2049,3.653925804644623
RD,AERO_PTAR,2050,3.8357506298146182
RD,SEPT_SYST,2032,0.0478788767013446
RD,SEPT_SYST,2033,0.089194017369871
RD,SEPT_SYST,2034,0.1253498797999159
RD,SEPT_SYST,2035,0.156736606422593
RD,SEPT_SYST,2036,0.2086694171824439
RD,SEPT_SYST,2037,0.2355943972727734
RD,SEPT_SYST,2038,0.2603575750401698
RD,SEPT_SYST,2039,0.4134678280787211
RD,SEPT_SYST,2040,0.1374375637964963
RD,SEPT_SYST,2041,0.608319820767296
RD,SEPT_SYST,2042,0.628570153371224
RD,SEPT_SYST,2043,0.5461259281765374
RD,SEPT_SYST,2044,0.5356753453667658
RD,SEPT_SYST,2045,0.9646746331447438
RD,SEPT_SYST,2046,0.6244991799210259
RD,SEPT_SYST,2047,0.637041079227472
RD,SEPT_SYST,2048,0.631531990410425
RD,SEPT_SYST,2049,0.6577626193102966
RD,SEPT_SYST,2050,0.6679955533897968
RD,PPBIM,2027,0.2049615939453637
RD,PPCOA,2049,740.1559781503416
RD,PPCOA,2050,0.0738332386971038
RD,PPCCTDSL,2024,32.172449556988425
RD,PPCCTDSL,2025,19.99296018277338
RD,PPCCTDSL,2032,51.71459525024576
RD,PPCCTNGS,2023,0.0001603753783307
RD,PPCCTNGS,2025,0.9057318477461485
RD,PPCCTNGS,2026,2.8305417402215287
RD,PPCCTNGS,2027,3.361278171773768
RD,PPCCTNGS,2028,3.8804909878702794
RD,PPCCTNGS,2029,4.366952997493566
RD,PPCCTNGS,2030,4.862164074254777
RD,PPCCTNGS,2031,5.321011959920441
RD,PPCCTNGS,2032,5.77970028385088
RD,PPCCTNGS,2033,6.211310676606148
RD,PPCCTNGS,2034,6.646563195083343
RD,PPCCTNGS,2035,7.053793076307983
RD,PPCCTNGS,2036,7.466279308672237
RD,PPCCTNGS,2037,7.8503987290834045
RD,PPCCTNGS,2038,8.242152879005674
RD,PPCCTNGS,2039,8.60481043134656
RD,PPCCTNGS,2040,8.956284055996758
RD,PPCCTNGS,2041,9.320017121943616
RD,PPCCTNGS,2042,9.653039362101424
RD,PPCCTNGS,2043,9.998824001833722
RD,PPCCTNGS,2044,10.314077811953338
RD,PPCCTNGS,2045,10.64384731295472
RD,PPCCTNGS,2046,10.9417664568176
RD,PPCCTNGS,2047,11.25753240596225
RD,PPCCTNGS,2048,11.516463147968592
RD,PPCCTNGS,2049,11.767118666844087
RD,PPCCTNGS,2050,11.959007092857732
RD,PPCCTNGSDSL,2023,0.6496678936630867
RD,PPCCTNGSDSL,2024,0.0031519634189735
RD,PPICEGASFOI,2022,0.0001538651678813
RD,PPICEGASFOI,2024,6.5117500567611835
RD,PPICEGASFOI,2049,11.17869958394724
RD,PPICEGASFOI,2050,104.75008043202772
RD,ELE_TRANS,2021,27.145905022777608
RD,ELE_TRANS,2022,2.3743694328105347
RD,ELE_TRANS,2023,2.6787110342905827
RD,ELE_TRANS,2024,16.878372519594286
RD,ELE_TRANS,2025,7.780943567021658
RD,ELE_TRANS,2026,2.712893636376088
RD,ELE_TRANS,2027,2.2428982695585504
RD,ELE_TRANS,2028,1.7616309279873517
RD,ELE_TRANS,2029,1.269864319541338
RD,ELE_TRANS,2030,0.7683231209074669
RD,ELE_TRANS,2031,2.4117245072164275
RD,ELE_TRANS,2032,13.776890016398518
RD,ELE_TRANS,2033,13.879525122499736
RD,ELE_TRANS,2034,13.977272842594056
RD,ELE_TRANS,2035,14.07036590935196
RD,ELE_TRANS,2036,14.159025972930154
RD,ELE_TRANS,2037,14.243464128719808
RD,ELE_TRANS,2038,14.323881419946906
RD,ELE_TRANS,2039,14.400469316354808
RD,ELE_TRANS,2040,14.473410170075583
RD,ELE_TRANS,2041,10.871959822535532
RD,ELE_TRANS,2042,10.9214193237575
RD,ELE_TRANS,2043,10.968523610635582
RD,ELE_TRANS,2044,11.01338483623518
RD,ELE_TRANS,2045,11.056109812996352
RD,ELE_TRANS,2046,11.096800267053707
RD,ELE_TRANS,2047,11.135553080442174
RD,ELE_TRANS,2048,11.172460521764489
RD,ELE_TRANS,2049,11.207610465880965
RD,ELE_TRANS,2050,11.241086603134608
RD,ELE_DIST,2029,0.4281017997307536
RD,ELE_DIST,2030,10.133784465705412
RD,ELE_DIST,2031,12.129845731647748
RD,ELE_DIST,2032,12.225476986776547
RD,ELE_DIST,2033,12.316554372614924
RD,ELE_DIST,2034,12.403294740078117
RD,ELE_DIST,2035,12.485904613853918
RD,ELE_DIST,2036,12.564580684115828
RD,ELE_DIST,2037,12.639510274842351
RD,ELE_DIST,2038,12.710871789818857
RD,ELE_DIST,2039,12.778835137416666
RD,ELE_DIST,2040,12.843562135127826
RD,ELE_DIST,2041,9.647670443282957
RD,ELE_DIST,2042,9.6915603192453
RD,ELE_DIST,2043,9.733360201114147
RD,ELE_DIST,2044,9.77316961241915
RD,ELE_DIST,2045,9.811083337471343
RD,ELE_DIST,2046,9.847191647043802
RD,ELE_DIST,2047,9.881580513303865
RD,ELE_DIST,2048,9.914331814503978
RD,ELE_DIST,2049,9.94552352993248
RD,ELE_DIST,2050,9.975229925578777
RD,INORG_DCOLL,2019,0.0358555486137367
RD,INORG_DCOLL,2021,0.0470763049034728
RD,INORG_DCOLL,2022,0.0458823850839689
RD,INORG_DCOLL,2023,0.0349815102647231
RD,INORG_DCOLL,2024,0.0323256223233721
RD,INORG_DCOLL,2025,0.0687955676888087
RD,INORG_DCOLL,2026,0.0300601187062695
RD,INORG_DCOLL,2027,0.029838378728165
RD,INORG_DCOLL,2028,0.028227601923023
RD,INORG_DCOLL,2029,0.0296547080436092
RD,INORG_DCOLL,2030,0.0297974638040275
RD,INORG_DCOLL,2031,0.032681633288348
RD,INORG_DCOLL,2032,0.0323920944830135
RD,INORG_DCOLL,2033,0.0319283825086862
RD,INORG_DCOLL,2034,0.0318042536795253
RD,INORG_DCOLL,2035,0.0313346219212544
RD,INORG_DCOLL,2036,0.0358681906867132
RD,INORG_DCOLL,2037,0.0355458471238534
RD,INORG_DCOLL,2038,0.0355668658877437
RD,INORG_DCOLL,2039,0.013850491644984
RD,INORG_DCOLL,2040,0.0135352213008092
RD,INORG_DCOLL,2041,0.0182561356364176
RD,INORG_DCOLL,2042,0.0181229474107909
RD,INORG_DCOLL,2043,0.0179795411948271
RD,INORG_DCOLL,2044,0.0178264489105469
RD,INORG_DCOLL,2045,0.0176641852245077
RD,INORG_DCOLL,2046,0.0228508061336026
RD,INORG_DCOLL,2047,0.0229095239718828
RD,INORG_DCOLL,2048,0.0229575575523157
RD,INORG_DCOLL,2049,0.0229951668557096
RD,INORG_DCOLL,2050,0.0230226095457191
RD,BLEND_NO_DCOLL,2019,0.3970962520481669
RD,BLEND_NO_DCOLL,2020,0.0588735629862138
RD,BLEND_NO_DCOLL,2021,0.8446693771953826
RD,BLEND_NO_DCOLL,2022,0.7202372795817615
RD,BLEND_NO_DCOLL,2023,0.4750221481971848
RD,BLEND_NO_DCOLL,2024,0.4379086767944502
RD,BLEND_NO_DCOLL,2025,0.8931474440148295
RD,BLEND_NO_DCOLL,2026,0.5476771620999061
RD,BLEND_NO_DCOLL,2027,0.5512333265861529
RD,BLEND_NO_DCOLL,2028,0.545724556951028
RD,BLEND_NO_DCOLL,2029,0.5588139121158252
RD,BLEND_NO_DCOLL,2030,0.5654069983179912
RD,BLEND_NO_DCOLL,2031,0.5892553550124464
RD,BLEND_NO_DCOLL,2032,0.5921459703340974
RD,BLEND_NO_DCOLL,2033,0.594368547421591
RD,BLEND_NO_DCOLL,2034,0.5967479134447375
RD,BLEND_NO_DCOLL,2035,0.5988400792430288
RD,BLEND_NO_DCOLL,2036,0.6367323361337435
RD,BLEND_NO_DCOLL,2037,0.6407156625963969
RD,BLEND_NO_DCOLL,2038,0.6439328741920319
RD,BLEND_NO_DCOLL,2039,0.3624317658708257
RD,BLEND_NO_DCOLL,2040,0.3636768268689473
RD,BLEND_NO_DCOLL,2041,0.4057940558894057
RD,BLEND_NO_DCOLL,2042,0.4089951369288827
RD,BLEND_NO_DCOLL,2043,0.4122665313384801
RD,BLEND_NO_DCOLL,2044,0.4149055216217925
RD,BLEND_NO_DCOLL,2045,0.4173640632680762
RD,BLEND_NO_DCOLL,2046,0.4653893267709122
RD,BLEND_NO_DCOLL,2047,0.4703202015910126
RD,BLEND_NO_DCOLL,2048,0.4749006620368627
RD,BLEND_NO_DCOLL,2049,0.4798285694654456
