REGION,TECHNOLOGY,YEAR,VALUE
RD,INORG_RCY_OS,2018,-13.181677465330424
RD,INORG_RCY_OS,2019,-13.10568737965017
RD,INORG_RCY_OS,2020,-11.60422639122548
RD,INORG_RCY_OS,2021,-12.151615602210848
RD,INORG_RCY_OS,2022,-12.328312421379412
RD,INORG_RCY_OS,2023,-12.169450141210891
RD,INORG_RCY_OS,2024,-11.924356493716918
RD,INORG_RCY_OS,2025,-12.554765711325905
RD,INORG_RCY_OS,2026,-12.196379354920737
RD,INORG_RCY_OS,2027,-11.833692982218423
RD,INORG_RCY_OS,2028,-11.443581725841948
RD,INORG_RCY_OS,2029,-11.083890327418723
RD,INORG_RCY_OS,2030,-10.734009412053451
RD,INORG_RCY_OS,2031,-10.43522303935426
RD,INORG_RCY_OS,2032,-10.131858876158756
RD,INORG_RCY_OS,2033,-9.825530248842359
RD,INORG_RCY_OS,2034,-9.517693362658948
RD,INORG_RCY_OS,2035,-9.209656424076233
RD,INORG_RCY_OS,2036,-8.963205461196766
RD,INORG_RCY_OS,2037,-8.714423118449798
RD,INORG_RCY_OS,2038,-8.464307494125338
RD,INORG_RCY_OS,2039,-8.213766334685955
RD,INORG_RCY_OS,2040,-7.963621814290117
RD,INORG_RCY_OS,2041,-7.7642920427824516
RD,INORG_RCY_OS,2042,-7.5635073864964
RD,INORG_RCY_OS,2043,-7.361914955766764
RD,INORG_RCY_OS,2044,-7.16010877738655
RD,INORG_RCY_OS,2045,-6.958632245934003
RD,INORG_RCY_OS,2046,-6.798011145988881
RD,INORG_RCY_OS,2047,-6.636292228821787
RD,INORG_RCY_OS,2048,-6.473912061377857
RD,INORG_RCY_OS,2049,-6.3112752021547465
RD,INORG_RCY_OS,2050,-6.1487554583127695
RD,NO_CONTR_OD,2018,1068.9586417167118
RD,NO_CONTR_OD,2019,1037.3537789648872
RD,NO_CONTR_OD,2020,971.6844557405004
RD,NO_CONTR_OD,2021,1044.486223770862
RD,NO_CONTR_OD,2022,1087.435526098559
RD,NO_CONTR_OD,2023,1073.1213146929606
RD,NO_CONTR_OD,2024,1051.6160270120106
RD,NO_CONTR_OD,2025,1098.6570211505093
RD,NO_CONTR_OD,2026,1087.9737501245957
RD,NO_CONTR_OD,2027,1075.7212473968675
RD,NO_CONTR_OD,2028,1060.912031613752
RD,NO_CONTR_OD,2029,1046.0951453612329
RD,NO_CONTR_OD,2030,1030.580993803263
RD,NO_CONTR_OD,2031,1016.3218656264957
RD,NO_CONTR_OD,2032,1000.908320381486
RD,NO_CONTR_OD,2033,984.4346529977652
RD,NO_CONTR_OD,2034,967.0894234429272
RD,NO_CONTR_OD,2035,948.9686682241155
RD,NO_CONTR_OD,2036,933.1703574415768
RD,NO_CONTR_OD,2037,916.6453118491523
RD,NO_CONTR_OD,2038,899.4982918692227
RD,NO_CONTR_OD,2039,881.8439717877054
RD,NO_CONTR_OD,2040,863.7584865039476
RD,NO_CONTR_OD,2041,847.8446647763733
RD,NO_CONTR_OD,2042,831.52806779439
RD,NO_CONTR_OD,2043,814.8505848775427
RD,NO_CONTR_OD,2044,797.9037865199981
RD,NO_CONTR_OD,2045,780.6823582372665
RD,NO_CONTR_OD,2046,765.4599730681288
RD,NO_CONTR_OD,2047,749.9947794075198
RD,NO_CONTR_OD,2048,734.3129601827588
RD,NO_CONTR_OD,2049,718.5158380364286
RD,NO_CONTR_OD,2050,702.6072040730475
RD,OPEN_BURN,2018,55.61593168384524
RD,OPEN_BURN,2019,66.01061532617125
RD,OPEN_BURN,2020,36.77776362279192
RD,OPEN_BURN,2021,36.58139112442459
RD,OPEN_BURN,2022,35.14476122383264
RD,OPEN_BURN,2023,34.69256558688703
RD,OPEN_BURN,2024,33.99602782732913
RD,OPEN_BURN,2025,35.516781497021405
RD,OPEN_BURN,2026,35.16107413343795
RD,OPEN_BURN,2027,34.77171261523085
RD,OPEN_BURN,2028,34.291957914156214
RD,OPEN_BURN,2029,33.8110370634042
RD,OPEN_BURN,2030,33.314317202248866
RD,OPEN_BURN,2031,32.85001202477945
RD,OPEN_BURN,2032,32.35028866037501
RD,OPEN_BURN,2033,31.818013256957745
RD,OPEN_BURN,2034,31.258149952956853
RD,OPEN_BURN,2035,30.673734730476447
RD,OPEN_BURN,2036,30.16407629851344
RD,OPEN_BURN,2037,29.63480881414057
RD,OPEN_BURN,2038,29.070571699477178
RD,OPEN_BURN,2039,28.50196115486444
RD,OPEN_BURN,2040,27.91314735639352
RD,OPEN_BURN,2041,27.40767743013578
RD,OPEN_BURN,2042,26.877405502443008
RD,OPEN_BURN,2043,26.34025540061101
RD,OPEN_BURN,2044,25.79024161321715
RD,OPEN_BURN,2045,25.229553392911072
RD,OPEN_BURN,2046,24.74277061162269
RD,OPEN_BURN,2047,24.24011589810285
RD,OPEN_BURN,2048,23.735738858324776
RD,OPEN_BURN,2049,23.22518510823303
RD,OPEN_BURN,2050,22.709910185684265
RD,SIT_CLAN,2018,151.0796321205038
RD,SIT_CLAN,2019,144.70874225862008
RD,SIT_CLAN,2020,138.20993469122416
RD,SIT_CLAN,2021,123.13333593902377
RD,SIT_CLAN,2022,103.08899456391784
RD,SIT_CLAN,2023,101.73632063783424
RD,SIT_CLAN,2024,99.71421474639405
RD,SIT_CLAN,2025,104.15402952802972
RD,SIT_CLAN,2026,103.17197077757758
RD,SIT_CLAN,2027,101.97187368933368
RD,SIT_CLAN,2028,100.58349587710912
RD,SIT_CLAN,2029,99.19106996676447
RD,SIT_CLAN,2030,97.7169635427332
RD,SIT_CLAN,2031,96.37365149148604
RD,SIT_CLAN,2032,94.89324160194093
RD,SIT_CLAN,2033,93.34866721036846
RD,SIT_CLAN,2034,91.69231473977965
RD,SIT_CLAN,2035,89.96477352069572
RD,SIT_CLAN,2036,88.48675768340476
RD,SIT_CLAN,2037,86.89707753879027
RD,SIT_CLAN,2038,85.2840642376006
RD,SIT_CLAN,2039,83.60575272093571
RD,SIT_CLAN,2040,81.89260752105903
RD,SIT_CLAN,2041,80.37867722879275
RD,SIT_CLAN,2042,78.83857839851117
RD,SIT_CLAN,2043,77.25567067221712
RD,SIT_CLAN,2044,75.65630214209257
RD,SIT_CLAN,2045,74.02468508437408
RD,SIT_CLAN,2046,72.5714298742684
RD,SIT_CLAN,2047,71.11106441830435
RD,SIT_CLAN,2048,69.62632812620646
RD,SIT_CLAN,2049,68.12378760155472
RD,SIT_CLAN,2050,66.60770668250588
RD,T4DSL_HEA,2018,75.03002182041918
RD,T4DSL_HEA,2019,75.82244463982425
RD,T4DSL_HEA,2020,76.26928217209132
RD,T4DSL_HEA,2021,75.49879291781596
RD,T4DSL_HEA,2022,74.72439678228322
RD,T4DSL_HEA,2023,73.94317828491263
RD,T4DSL_HEA,2024,73.42905195113728
RD,T4DSL_HEA,2025,69.09669429517857
RD,T4DSL_HEA,2026,68.23704722788158
RD,T4DSL_HEA,2027,67.18379873798193
RD,T4DSL_HEA,2028,66.14672904878532
RD,T4DSL_HEA,2029,65.1204266759376
RD,T4DSL_HEA,2030,64.09736781122243
RD,T4DSL_HEA,2031,63.095041230554955
RD,T4DSL_HEA,2032,62.09968305346498
RD,T4DSL_HEA,2033,61.11996327371996
RD,T4DSL_HEA,2034,60.15073271545241
RD,T4DSL_HEA,2035,59.18699968373731
RD,T4DSL_HEA,2036,58.238527118041546
RD,T4DSL_HEA,2037,57.298639897625456
RD,T4DSL_HEA,2038,56.370543294456446
RD,T4DSL_HEA,2039,55.45197434816956
RD,T4DSL_HEA,2040,54.5475220823166
RD,T4DSL_HEA,2041,53.651361147518806
RD,T4DSL_HEA,2042,52.76551273600494
RD,T4DSL_HEA,2043,51.89159158751836
RD,T4DSL_HEA,2044,51.02564090327471
RD,T4DSL_HEA,2045,50.169007113862726
RD,T4DSL_HEA,2046,49.32597670809567
RD,T4DSL_HEA,2047,48.49106379316175
RD,T4DSL_HEA,2048,47.6656269435566
RD,T4DSL_HEA,2049,46.85123934053631
RD,T4DSL_HEA,2050,46.04490669533664
