REGION,TECHNOLOGY,YEAR,VALUE
RD,PPHDAM,2026,27.661425110498595
RD,PPHDAM,2027,32.734896053037026
RD,PPHDAM,2028,34.13503323688318
RD,PPHDAM,2029,35.54697578814346
RD,PPHDAM,2030,38.005199875421695
RD,PPHDAM,2031,38.43232367257952
RD,PPHDAM,2032,39.882914098045525
RD,PPHDAM,2033,41.34680642162455
RD,PPHDAM,2034,42.824416603535134
RD,PPHDAM,2035,44.31617846179493
RD,PPHDAM,2036,45.82254324775307
RD,PPHDAM,2037,47.34397927638729
RD,PPHDAM,2038,48.88097160922792
RD,PPHDAM,2039,52.02061725595848
RD,PPHDAM,2040,52.039389211156525
RD,PPHDAM,2041,53.6274931095031
RD,PPHDAM,2042,55.302219168358896
RD,PPHDAM,2043,56.857684990939326
RD,PPHDAM,2044,58.500587761416256
RD,PPHDAM,2045,60.16292938236002
RD,PPHDAM,2046,61.8453242514098
RD,PPHDAM,2047,63.548402775137696
RD,PPHDAM,2048,67.55419589906599
RD,PPHDAM,2049,67.06856201967804
RD,PPHDAM,2050,68.83932914738523
RD,PPWNDON,2032,38.592006527766394
RD,PPWNDON,2033,75.2266554676495
RD,PPWNDON,2034,109.97829869902948
RD,PPWNDON,2035,142.97491043542576
RD,PPWNDON,2036,174.27136902039862
RD,PPWNDON,2037,203.92521159707368
RD,PPWNDON,2038,232.10561609261924
RD,PPWNDON,2039,548.2830353380409
RD,PPWNDON,2040,284.1759760512497
RD,PPWNDON,2041,308.26754500498663
RD,PPWNDON,2042,424.8451637044184
RD,PPWNDON,2043,352.46130556002345
RD,PPWNDON,2044,501.2858993645238
RD,PPWNDON,2045,495.2288105098461
RD,PPWNDON,2046,659.7638692690849
RD,PPWNDON,2047,687.7351316421473
RD,PPWNDON,2048,1494.1300384507574
RD,PPWNDON,2049,460.0379007329875
RD,PPWNDON,2050,2717.22424495533
RD,PPPVT,2032,29.933270879423745
RD,PPPVT,2033,58.36302760615518
RD,PPPVT,2034,85.35373755047696
RD,PPPVT,2035,111.00206299288944
RD,PPPVT,2036,135.34758762261092
RD,PPPVT,2037,158.43241025028513
RD,PPPVT,2038,180.3914093191672
RD,PPPVT,2039,329.0497329165517
RD,PPPVT,2040,221.1128159730866
RD,PPPVT,2041,516.4258458568918
RD,PPPVT,2042,343.0214218402108
RD,PPPVT,2043,732.8287269730096
RD,PPPVT,2044,2103.101967489248
RD,PPPVT,2045,1090.2978003860358
RD,PPPVT,2046,734.5430870941891
RD,PPPVT,2047,549.8159596490801
RD,PPPVT,2048,693.3139900428206
RD,PPPVT,2049,717.8848071275581
RD,PPPVT,2050,741.1471998174494
RD,INORG_RCY_OS,2019,0.8101577354503756
RD,INORG_RCY_OS,2021,1.0636912290712328
RD,INORG_RCY_OS,2022,1.0367145569890768
RD,INORG_RCY_OS,2023,0.7904087995977445
RD,INORG_RCY_OS,2024,0.7303988919721625
RD,INORG_RCY_OS,2025,1.5544413891081252
RD,INORG_RCY_OS,2026,0.6792118532364346
RD,INORG_RCY_OS,2027,0.6742026427716393
RD,INORG_RCY_OS,2028,0.6378019199114612
RD,INORG_RCY_OS,2029,0.6700483828047549
RD,INORG_RCY_OS,2030,0.6732749796061341
RD,INORG_RCY_OS,2031,0.7384440276183974
RD,INORG_RCY_OS,2032,0.7319029659905902
RD,INORG_RCY_OS,2033,0.7214264031906608
RD,INORG_RCY_OS,2034,0.718614468639818
RD,INORG_RCY_OS,2035,0.7080060368042321
RD,INORG_RCY_OS,2036,0.8104432521124825
RD,INORG_RCY_OS,2037,0.803161052740085
RD,INORG_RCY_OS,2038,0.803637126233755
RD,INORG_RCY_OS,2039,0.3129537786599541
RD,INORG_RCY_OS,2040,0.3058272399692137
RD,INORG_RCY_OS,2041,0.4124975251545778
RD,INORG_RCY_OS,2042,0.4094887167212587
RD,INORG_RCY_OS,2043,0.4062490165972784
RD,INORG_RCY_OS,2044,0.4027904429343897
RD,INORG_RCY_OS,2045,0.3991246240767878
RD,INORG_RCY_OS,2046,0.5163121943881486
RD,INORG_RCY_OS,2047,0.5176396431709633
RD,INORG_RCY_OS,2048,0.5187268900564947
RD,INORG_RCY_OS,2049,0.5195773762945948
RD,INORG_RCY_OS,2050,0.52019814106713
