REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
RD,All,REF_DSL,E1CRU,2018,56.59067952031075
RD,All,REF_DSL,E1CRU,2019,60.722036854176814
RD,All,REF_DSL,E1CRU,2020,64.85357747860475
RD,All,REF_DSL,E1CRU,2021,67.57373794333223
RD,All,REF_DSL,E1CRU,2022,69.13173974910156
RD,All,REF_DSL,E1CRU,2023,74.06726854016986
RD,All,REF_DSL,E1CRU,2024,90.2246431795691
RD,All,REF_DSL,E1CRU,2025,92.20569324330998
RD,All,REF_DSL,E1CRU,2026,95.7678076351916
RD,All,REF_DSL,E1CRU,2027,98.91495528578291
RD,All,REF_DSL,E1CRU,2028,102.14044402637428
RD,All,REF_DSL,E1CRU,2029,105.44461269696558
RD,All,REF_DSL,E1CRU,2030,108.82559097755691
RD,All,REF_DSL,E1CRU,2031,112.24850408528926
RD,All,REF_DSL,E1CRU,2032,117.89366362302157
RD,All,REF_DSL,E1CRU,2033,121.47016354075384
RD,All,REF_DSL,E1CRU,2034,125.11836332848615
RD,All,REF_DSL,E1CRU,2035,128.84448121621847
RD,All,REF_DSL,E1CRU,2036,132.64052950395077
RD,All,REF_DSL,E1CRU,2037,136.50690634168308
RD,All,REF_DSL,E1CRU,2038,140.4453100894154
RD,All,REF_DSL,E1CRU,2039,144.44806486714765
RD,All,REF_DSL,E1CRU,2040,148.51946913487996
RD,All,REF_DSL,E1CRU,2041,152.559324030548
RD,All,REF_DSL,E1CRU,2042,156.66287706621594
RD,All,REF_DSL,E1CRU,2043,160.82474712188397
RD,All,REF_DSL,E1CRU,2044,165.04343393755204
RD,All,REF_DSL,E1CRU,2045,169.3140210632199
RD,All,REF_DSL,E1CRU,2046,173.63456015888795
RD,All,REF_DSL,E1CRU,2047,178.006687624556
RD,All,REF_DSL,E1CRU,2048,182.69659519517012
RD,All,REF_DSL,E1CRU,2049,187.43816146234363
RD,All,REF_DSL,E1CRU,2050,192.22210935424815
RD,All,REF_GSL,E1CRU,2018,76.80254140999998
RD,All,REF_GSL,E1CRU,2019,85.13741014140828
RD,All,REF_GSL,E1CRU,2020,92.36730078889984
RD,All,REF_GSL,E1CRU,2021,97.77866271713827
RD,All,REF_GSL,E1CRU,2022,103.23264788955922
RD,All,REF_GSL,E1CRU,2023,108.61269745021202
RD,All,REF_GSL,E1CRU,2024,115.68788849971963
RD,All,REF_GSL,E1CRU,2025,119.43200184345474
RD,All,REF_GSL,E1CRU,2026,125.55924551116873
RD,All,REF_GSL,E1CRU,2027,131.61902957060303
RD,All,REF_GSL,E1CRU,2028,137.84864355562604
RD,All,REF_GSL,E1CRU,2029,144.2431791403447
RD,All,REF_GSL,E1CRU,2030,150.79161919053217
RD,All,REF_GSL,E1CRU,2031,157.42429726750223
RD,All,REF_GSL,E1CRU,2032,164.1953797144724
RD,All,REF_GSL,E1CRU,2033,171.10277717144254
