REGION,TECHNOLOGY,YEAR,VALUE
RD,DIST_BIM,2018,180.0448615064955
RD,DIST_BIM,2019,135.43439225590004
RD,DIST_BIM,2020,237.93069605340003
RD,DIST_BIM,2021,535.2941820468
RD,DIST_BIM,2022,423.6953654110279
RD,DIST_BIM,2023,407.746552158155
RD,DIST_BIM,2024,384.246994952862
RD,DIST_BIM,2025,373.953077901333
RD,DIST_BIM,2026,374.36856575337
RD,DIST_BIM,2027,846.36166098608
RD,DIST_BIM,2028,813.3240495212301
RD,DIST_BIM,2029,780.937993779206
RD,DIST_BIM,2030,749.201385430008
RD,DIST_BIM,2031,717.8566907924901
RD,DIST_BIM,2032,687.158036526382
RD,DIST_BIM,2033,657.1222194131001
RD,DIST_BIM,2034,627.7532126426441
RD,DIST_BIM,2035,599.0655289919579
RD,DIST_BIM,2036,571.023857834592
RD,DIST_BIM,2037,543.6488509400521
RD,DIST_BIM,2038,516.956833574787
RD,DIST_BIM,2039,490.90630069448406
RD,DIST_BIM,2040,465.52529367586
RD,DIST_BIM,2041,439.670444020062
RD,DIST_BIM,2042,414.568549763152
RD,DIST_BIM,2043,390.181096450068
RD,DIST_BIM,2044,366.531665890186
RD,DIST_BIM,2045,343.61891579313004
RD,DIST_BIM,2046,321.4541091745751
RD,DIST_BIM,2047,300.00767939871
RD,DIST_BIM,2048,279.30020231757004
RD,DIST_BIM,2049,259.326747209256
RD,DIST_BIM,2050,240.100600939056
RD,DIST_NGS,2018,135.36604366915225
RD,DIST_NGS,2019,116.21317643739486
RD,DIST_NGS,2020,180.5000601944384
RD,DIST_NGS,2021,332.16571428549497
RD,DIST_NGS,2022,702.5842897960669
RD,DIST_NGS,2023,542.6736370751006
RD,DIST_NGS,2024,612.9133681239307
RD,DIST_NGS,2025,563.3947568661835
RD,DIST_NGS,2026,576.4125814721555
RD,DIST_NGS,2027,588.9623116217118
RD,DIST_NGS,2028,601.0588149576679
RD,DIST_NGS,2029,612.6457509289551
RD,DIST_NGS,2030,623.7489510707916
RD,DIST_NGS,2031,633.9598082386027
RD,DIST_NGS,2032,643.6988333599259
RD,DIST_NGS,2033,652.956094400966
RD,DIST_NGS,2034,661.7364648830542
RD,DIST_NGS,2035,670.0465696820535
RD,DIST_NGS,2036,677.8723326273705
RD,DIST_NGS,2037,685.2222164237355
RD,DIST_NGS,2038,692.1033172804109
