REGION,TECHNOLOGY,YEAR,VALUE
RD,PPHDAM,2026,35.82992061473883
RD,PPHDAM,2027,41.5720430582422
RD,PPHDAM,2028,42.55720764822088
RD,PPHDAM,2029,43.55869225277764
RD,PPHDAM,2030,45.823705462789285
RD,PPHDAM,2031,45.641234115201854
RD,PPHDAM,2032,46.69456521900286
RD,PPHDAM,2033,47.765592621133486
RD,PPHDAM,2034,48.85467604224776
RD,PPHDAM,2035,49.962184072452885
RD,PPHDAM,2036,51.0884944307868
RD,PPHDAM,2037,52.23399423349238
RD,PPHDAM,2038,53.399080271481736
RD,PPHDAM,2039,56.3013132481864
RD,PPHDAM,2040,55.82799199815068
RD,PPHDAM,2041,57.05545718729188
RD,PPHDAM,2042,58.376992642834246
RD,PPHDAM,2043,59.57511867133846
RD,PPHDAM,2044,60.867874573046414
RD,PPHDAM,2045,62.183323923390255
RD,PPHDAM,2046,63.52195310049039
RD,PPHDAM,2047,64.88426116342445
RD,PPHDAM,2048,68.5870244864862
RD,PPHDAM,2049,67.73181277454461
RD,PPHDAM,2050,69.16973467353925
RD,PPWNDON,2019,317.7738152012926
RD,PPWNDON,2020,0.0338510266150198
RD,PPWNDON,2021,0.1436111498328232
RD,PPWNDON,2022,72.18902292736155
RD,PPWNDON,2023,0.017552543499743
RD,PPWNDON,2024,80.66884252801226
RD,PPWNDON,2025,139.77675692307653
RD,PPWNDON,2026,320.1281947091468
RD,PPWNDON,2027,316.97802546881
RD,PPWNDON,2028,2310.0187631171066
RD,PPWNDON,2029,2286.9588190585537
RD,PPWNDON,2030,2263.7716163796413
RD,PPWNDON,2031,628.8231482363833
RD,PPWNDON,2032,627.7649309223108
RD,PPWNDON,2033,626.6570567180108
RD,PPWNDON,2034,625.6481882893247
RD,PPWNDON,2035,624.58983716035
RD,PPWNDON,2036,623.4822339392791
RD,PPWNDON,2037,622.423594718712
RD,PPWNDON,2038,621.3161424209094
RD,PPWNDON,2039,1178.5035936086665
RD,PPWNDON,2040,619.2611022132425
RD,PPWNDON,2041,618.4109271897523
RD,PPWNDON,2042,757.9895415622483
RD,PPWNDON,2043,616.0108357644142
RD,PPWNDON,2044,785.2673433160387
RD,PPWNDON,2045,743.5015369252983
RD,PPWNDON,2046,911.9382853042465
RD,PPWNDON,2047,910.3632682740158
RD,PPWNDON,2048,2805.329091016072
RD,PPWNDON,2049,2800.4190337606815
RD,PPWNDON,2050,2795.28166855626
RD,PPPVT,2019,113.17231628990577
RD,PPPVT,2020,0.1024807358628637
RD,PPPVT,2021,172.69733519885747
RD,PPPVT,2022,47.625046840621046
RD,PPPVT,2023,229.40098166792745
RD,PPPVT,2024,818.6250320320687
RD,PPPVT,2025,1054.4889205714192
RD,PPPVT,2026,527.3732452114423
RD,PPPVT,2027,261.3290174480168
RD,PPPVT,2028,629.7366206690897
RD,PPPVT,2029,624.1079352021951
RD,PPPVT,2030,618.427317341178
RD,PPPVT,2031,617.6029175452873
RD,PPPVT,2032,616.726633285496
RD,PPPVT,2033,615.902233489603
RD,PPPVT,2034,615.0778336937113
RD,PPPVT,2035,614.2534578629276
RD,PPPVT,2036,613.4290580670358
RD,PPPVT,2037,612.5527498421376
RD,PPPVT,2038,611.7283740113528
RD,PPPVT,2039,857.3812503640186
RD,PPPVT,2040,610.3344694921668
RD,PPPVT,2041,1055.7614609953444
RD,PPPVT,2042,736.6331823069283
RD,PPPVT,2043,1252.130496918914
RD,PPPVT,2044,3011.5234936454485
RD,PPPVT,2045,1593.7569439161723
RD,PPPVT,2046,1102.7324179104482
RD,PPPVT,2047,852.6973316111723
RD,PPPVT,2048,1206.761262179486
RD,PPPVT,2049,1205.112462587706
RD,PPPVT,2050,1203.3598461378992
RD,INORG_RCY_OS,2019,0.8342250000000009
RD,INORG_RCY_OS,2021,1.0914750000000002
RD,INORG_RCY_OS,2022,1.0620749999999992
RD,INORG_RCY_OS,2023,0.8084999999999996
RD,INORG_RCY_OS,2024,0.7460249999999994
RD,INORG_RCY_OS,2025,4.063891223622557
RD,INORG_RCY_OS,2026,1.4126216492695207
RD,INORG_RCY_OS,2027,1.4627269798764595
RD,INORG_RCY_OS,2028,1.4724238366846427
RD,INORG_RCY_OS,2029,1.5296091713082776
RD,INORG_RCY_OS,2030,1.5575297908018746
RD,INORG_RCY_OS,2031,1.6355313869724373
RD,INORG_RCY_OS,2032,1.65681954068839
RD,INORG_RCY_OS,2033,1.6673075197474536
RD,INORG_RCY_OS,2034,2.126839467497487
RD,INORG_RCY_OS,2035,2.163616620973715
RD,INORG_RCY_OS,2036,2.3053710519251034
RD,INORG_RCY_OS,2037,2.3508069846863844
RD,INORG_RCY_OS,2038,2.3998599230737034
RD,INORG_RCY_OS,2039,1.9594413591896975
RD,INORG_RCY_OS,2040,2.0011331418420983
RD,INORG_RCY_OS,2041,2.1741377039734857
RD,INORG_RCY_OS,2042,2.2292723310009603
RD,INORG_RCY_OS,2043,2.2780888483628727
RD,INORG_RCY_OS,2044,2.3330433266125374
RD,INORG_RCY_OS,2045,2.3850995810395488
RD,INORG_RCY_OS,2046,2.5963330495892727
RD,INORG_RCY_OS,2047,2.6564349322671585
RD,INORG_RCY_OS,2048,2.726340443884214
RD,INORG_RCY_OS,2049,2.7893364104703355
RD,INORG_RCY_OS,2050,2.8546353002347757
RD,COMPOST,2025,0.5949631680561102
RD,COMPOST,2026,0.558565251824239
RD,COMPOST,2027,0.5290464358728417
RD,COMPOST,2028,0.5133975410389161
RD,COMPOST,2029,0.5014892674648235
RD,COMPOST,2030,0.498827435717066
RD,COMPOST,2031,0.4997128873563951
RD,COMPOST,2032,0.4990126997991873
RD,COMPOST,2033,0.5010114371818293
RD,COMPOST,2034,0.4482619124094769
RD,COMPOST,2035,0.4628529078888586
RD,COMPOST,2036,0.498517044519167
RD,COMPOST,2037,0.5167332336067928
RD,COMPOST,2038,0.536079712187217
RD,COMPOST,2039,0.549440675505065
RD,COMPOST,2040,0.5662434314948501
RD,COMPOST,2041,0.611210825380722
RD,COMPOST,2042,0.6306604742409536
RD,COMPOST,2043,0.6529286192842026
RD,COMPOST,2044,0.6678799288271415
RD,COMPOST,2045,1.362772922123219
RD,COMPOST,2046,1.3768124298447255
RD,COMPOST,2047,1.3686796941711372
RD,COMPOST,2048,1.3691235029731474
RD,COMPOST,2049,1.3768553971582604
RD,COMPOST,2050,1.3956122863387204
RD,LANDFILL,2019,0.603225
RD,LANDFILL,2021,0.7895999999999993
RD,LANDFILL,2022,0.7685999999999998
RD,LANDFILL,2023,0.5838000000000015
RD,LANDFILL,2024,0.5391749999999977
RD,LANDFILL,2025,2.5530428801420197
RD,LANDFILL,2026,2.4007317646959554
RD,LANDFILL,2027,2.533648135261049
RD,LANDFILL,2028,2.6528359793139398
RD,LANDFILL,2029,2.810972721808044
RD,LANDFILL,2030,2.969338501288991
RD,LANDFILL,2031,3.1797495474296693
RD,LANDFILL,2032,3.345665846632443
RD,LANDFILL,2033,3.517323831762368
RD,LANDFILL,2034,0.8933918287534377
RD,LANDFILL,2035,0.8826477281546152
RD,LANDFILL,2036,0.9857410461388866
RD,LANDFILL,2037,0.9782600236910182
RD,LANDFILL,2038,0.9704266014436672
RD,LANDFILL,2039,0.6081314597931246
RD,LANDFILL,2040,0.5964452308883544
RD,LANDFILL,2041,0.7094786290595971
RD,LANDFILL,2042,0.7034098872580499
RD,LANDFILL,2043,0.6960593459837034
RD,LANDFILL,2044,0.6869788621430197
RD,LANDFILL,2045,0.6796244570499925
RD,LANDFILL,2046,0.8002923301325982
RD,LANDFILL,2047,0.7965583577482782
RD,LANDFILL,2048,0.792038402143667
RD,LANDFILL,2049,1.4936161572924147
