REGION,TIMESLICE,FUEL,YEAR,VALUE
RD,All,E5COMDSL,2018,1.1304
RD,All,E5COMDSL,2019,1.3405
RD,All,E5COMDSL,2020,1.156
RD,All,E5COMDSL,2021,1.3159
RD,All,E5COMDSL,2022,1.228
RD,All,E5COMDSL,2023,1.2225
RD,All,E5COMDSL,2024,1.2643
RD,All,E5COMDSL,2025,1.3062
RD,All,E5COMDSL,2026,1.3318
RD,All,E5COMDSL,2027,1.3575
RD,All,E5COMDSL,2028,1.3832
RD,All,E5COMDSL,2029,1.4089
RD,All,E5COMDSL,2030,1.4346
RD,All,E5COMDSL,2031,1.4505
RD,All,E5COMDSL,2032,1.4664
RD,All,E5COMDSL,2033,1.4823
RD,All,E5COMDSL,2034,1.4982
RD,All,E5COMDSL,2035,1.5141
RD,All,E5COMDSL,2036,1.53
RD,All,E5COMDSL,2037,1.5459
RD,All,E5COMDSL,2038,1.5618
RD,All,E5COMDSL,2039,1.5777
RD,All,E5COMDSL,2040,1.5936
RD,All,E5COMDSL,2041,1.5842
RD,All,E5COMDSL,2042,1.5749
RD,All,E5COMDSL,2043,1.5655
RD,All,E5COMDSL,2044,1.5562
RD,All,E5COMDSL,2045,1.5468
RD,All,E5COMDSL,2046,1.5375
RD,All,E5COMDSL,2047,1.5281
RD,All,E5COMDSL,2048,1.5188
RD,All,E5COMDSL,2049,1.5094
RD,All,E5COMDSL,2050,1.5001
RD,All,E5COMGSL,2018,0.0321999999999999
RD,All,E5COMGSL,2019,0.0011999999999999
RD,All,E5COMGSL,2020,0.0011
RD,All,E5COMGSL,2021,0.0012999999999999
RD,All,E5COMGSL,2022,0.0016
RD,All,E5COMGSL,2023,0.0016
RD,All,E5COMGSL,2024,0.0016999999999999
RD,All,E5COMGSL,2025,0.0016999999999999
RD,All,E5COMGSL,2026,0.0016999999999999
RD,All,E5COMGSL,2027,0.0018
RD,All,E5COMGSL,2028,0.0018
RD,All,E5COMGSL,2029,0.0019
RD,All,E5COMGSL,2030,0.0019
RD,All,E5COMGSL,2031,0.0019
RD,All,E5COMGSL,2032,0.0019
RD,All,E5COMGSL,2033,0.0019
RD,All,E5COMGSL,2034,0.002
RD,All,E5COMGSL,2035,0.002
RD,All,E5COMGSL,2036,0.002
RD,All,E5COMGSL,2037,0.002
RD,All,E5COMGSL,2038,0.0020999999999999
RD,All,E5COMGSL,2039,0.0020999999999999
RD,All,E5COMGSL,2040,0.0020999999999999
RD,All,E5COMGSL,2041,0.0020999999999999
RD,All,E5COMGSL,2042,0.0020999999999999
RD,All,E5COMGSL,2043,0.0020999999999999
RD,All,E5COMGSL,2044,0.002
RD,All,E5COMGSL,2045,0.002
RD,All,E5COMGSL,2046,0.002
RD,All,E5COMGSL,2047,0.002
RD,All,E5COMGSL,2048,0.002
RD,All,E5COMGSL,2049,0.002
RD,All,E5COMGSL,2050,0.002
RD,All,E5COMNGS,2018,0.095
RD,All,E5COMLPG,2018,2.0963
RD,All,E5COMLPG,2019,2.5773
RD,All,E5COMLPG,2020,2.2652
RD,All,E5COMLPG,2021,2.5138
RD,All,E5COMLPG,2022,2.4882
RD,All,E5COMLPG,2023,2.4771
RD,All,E5COMLPG,2024,2.5617
RD,All,E5COMLPG,2025,2.6465
RD,All,E5COMLPG,2026,2.6985
RD,All,E5COMLPG,2027,2.7505
RD,All,E5COMLPG,2028,2.8026
RD,All,E5COMLPG,2029,2.8546
RD,All,E5COMLPG,2030,2.9066
RD,All,E5COMLPG,2031,2.9388
RD,All,E5COMLPG,2032,2.9711
RD,All,E5COMLPG,2033,3.0033
RD,All,E5COMLPG,2034,3.0355
RD,All,E5COMLPG,2035,3.0677
RD,All,E5COMLPG,2036,3.0999
RD,All,E5COMLPG,2037,3.1321
RD,All,E5COMLPG,2038,3.1643
RD,All,E5COMLPG,2039,3.1966
RD,All,E5COMLPG,2040,3.2288
RD,All,E5COMLPG,2041,3.2098
RD,All,E5COMLPG,2042,3.1909
