REGION,TECHNOLOGY,YEAR,VALUE
RD,PPHDAM,2026,5.528759285824202
RD,PPHDAM,2027,6.542806807702332
RD,PPHDAM,2028,6.822655782427758
RD,PPHDAM,2029,7.104864325919171
RD,PPHDAM,2030,7.596195817152352
RD,PPHDAM,2031,7.681566135214402
RD,PPHDAM,2032,7.971499327473502
RD,PPHDAM,2033,8.264091203889965
RD,PPHDAM,2034,8.559424903489049
RD,PPHDAM,2035,8.857587134579662
RD,PPHDAM,2036,9.158668089914956
RD,PPHDAM,2037,9.462761372798868
RD,PPHDAM,2038,9.769963933711322
RD,PPHDAM,2039,10.397492882571262
RD,PPHDAM,2040,10.401244880929976
RD,PPHDAM,2041,10.718663240243098
RD,PPHDAM,2042,11.05339499076294
RD,PPHDAM,2043,11.364289894984989
RD,PPHDAM,2044,11.692661044038084
RD,PPHDAM,2045,12.024917485500914
RD,PPHDAM,2046,12.361182020589952
RD,PPHDAM,2047,12.701580650267736
RD,PPHDAM,2048,13.502228695064373
RD,PPHDAM,2049,13.405163818274712
RD,PPHDAM,2050,13.759091541131898
RD,PPWNDON,2032,9.588834111265117
RD,PPWNDON,2033,18.68801831227089
RD,PPWNDON,2034,27.325960916425
RD,PPWNDON,2035,35.521037010455366
RD,PPWNDON,2036,43.29298591452476
RD,PPWNDON,2037,50.668653978954985
RD,PPWNDON,2038,57.660332989084765
RD,PPWNDON,2039,122.16236086620738
RD,PPWNDON,2040,70.59409554861057
RD,PPWNDON,2041,76.58612522289233
RD,PPWNDON,2042,100.97988025296684
RD,PPWNDON,2043,87.56680105897058
RD,PPWNDON,2044,118.305900231855
RD,PPWNDON,2045,118.03627490821135
RD,PPWNDON,2046,151.8121559949116
RD,PPWNDON,2047,158.2386948905095
RD,PPWNDON,2048,507.2504620452284
RD,PPWNDON,2049,525.0253078120014
RD,PPWNDON,2050,541.8035111406155
RD,PPPVT,2032,9.420228953989673
RD,PPPVT,2033,18.367290521395383
RD,PPPVT,2034,26.864287563957912
RD,PPPVT,2035,34.93319697571015
RD,PPPVT,2036,42.594919509835975
RD,PPPVT,2037,49.865113708671274
RD,PPPVT,2038,56.77055420921385
RD,PPPVT,2039,88.87517889204645
RD,PPPVT,2040,69.57648349290947
RD,PPPVT,2041,130.749111799707
RD,PPPVT,2042,98.13477160437405
RD,PPPVT,2043,177.9920997453053
RD,PPPVT,2044,453.7066274532677
RD,PPPVT,2045,253.02050288547244
RD,PPPVT,2046,183.5740296752816
RD,PPPVT,2047,148.21524285199837
RD,PPPVT,2048,218.2026378934096
RD,PPPVT,2049,225.93566676645463
RD,PPPVT,2050,233.24468411796505
RD,INORG_RCY_OS,2019,0.1619282840620366
RD,INORG_RCY_OS,2021,0.2126026673060061
RD,INORG_RCY_OS,2022,0.2072107713469563
RD,INORG_RCY_OS,2023,0.1579810140987498
RD,INORG_RCY_OS,2024,0.1459866814603903
RD,INORG_RCY_OS,2025,0.7963533526140842
RD,INORG_RCY_OS,2026,0.2771813097525852
RD,INORG_RCY_OS,2027,0.2873741161586577
RD,INORG_RCY_OS,2028,0.2896255395732875
RD,INORG_RCY_OS,2029,0.3012165381732863
RD,INORG_RCY_OS,2030,0.3070470664107879
RD,INORG_RCY_OS,2031,0.3227564004711346
RD,INORG_RCY_OS,2032,0.3272780254203147
RD,INORG_RCY_OS,2033,0.3296570348705748
RD,INORG_RCY_OS,2034,0.4208881653405516
RD,INORG_RCY_OS,2035,0.4285278071037728
RD,INORG_RCY_OS,2036,0.4569708333041224
RD,INORG_RCY_OS,2037,0.4663335786152754
RD,INORG_RCY_OS,2038,0.4764108348817064
RD,INORG_RCY_OS,2039,0.3892501299332903
RD,INORG_RCY_OS,2040,0.397794453523616
RD,INORG_RCY_OS,2041,0.432456295655196
RD,INORG_RCY_OS,2042,0.4436879228491914
RD,INORG_RCY_OS,2043,0.4536615303631486
RD,INORG_RCY_OS,2044,0.4648566303570476
RD,INORG_RCY_OS,2045,0.475473554600012
RD,INORG_RCY_OS,2046,0.5178370520828807
RD,INORG_RCY_OS,2047,0.5300716023666927
RD,INORG_RCY_OS,2048,0.544262409946995
RD,INORG_RCY_OS,2049,0.5570738640111165
RD,INORG_RCY_OS,2050,0.5703446026075047
RD,COMPOST,2032,0.0076222002251048
RD,COMPOST,2033,0.0149410444075225
RD,COMPOST,2034,0.0195783952197089
RD,COMPOST,2035,0.026322899114505
RD,COMPOST,2036,0.0346157279416893
RD,COMPOST,2037,0.0420648857710501
RD,COMPOST,2038,0.0497500911419541
RD,COMPOST,2039,0.0569544042458906
RD,COMPOST,2040,0.0645502240716481
RD,COMPOST,2041,0.0756944399784713
RD,COMPOST,2042,0.0840170156409749
RD,COMPOST,2043,0.0928147155717144
RD,COMPOST,2044,0.100620682751202
RD,COMPOST,2045,0.2163501099653608
RD,COMPOST,2046,0.2292006671324118
RD,COMPOST,2047,0.2379029296067705
RD,COMPOST,2048,0.2475604490411397
RD,COMPOST,2049,0.2581342006288509
RD,COMPOST,2050,0.2705085664300314
RD,LANDFILL,2022,0.0095174607310333
RD,LANDFILL,2023,0.0141139757236948
RD,LANDFILL,2024,0.0190909243884094
RD,LANDFILL,2025,0.1177065934424776
RD,LANDFILL,2026,0.1351415995872024
RD,LANDFILL,2027,0.1672058932432856
RD,LANDFILL,2028,0.1995845260463835
RD,LANDFILL,2029,0.2362191466010787
RD,LANDFILL,2030,0.2744139881072451
RD,LANDFILL,2031,0.3192403776204664
RD,LANDFILL,2032,0.3613317795206001
RD,LANDFILL,2033,0.4053362513326312
RD,LANDFILL,2034,0.1091145843481571
RD,LANDFILL,2035,0.1135986031967587
RD,LANDFILL,2036,0.133031932267967
RD,LANDFILL,2037,0.1378491941532775
RD,LANDFILL,2038,0.1422503317615252
RD,LANDFILL,2039,0.0924286579819161
RD,LANDFILL,2040,0.0937214001499987
RD,LANDFILL,2041,0.114959378674075
RD,LANDFILL,2042,0.1172588293198086
RD,LANDFILL,2043,0.1191272861007663
RD,LANDFILL,2044,0.1204812381530159
RD,LANDFILL,2045,0.1219313415966954
RD,LANDFILL,2046,0.1466530927682239
RD,LANDFILL,2047,0.1488816121554954
RD,LANDFILL,2048,0.1507951282581499
RD,LANDFILL,2049,0.2893214913943659
RD,LANDFILL,2050,0.1544838174110489
RD,AERO_PTAR,2032,0.1406713581810191
RD,AERO_PTAR,2033,0.2723967088806066
RD,AERO_PTAR,2034,0.5031577987303013
RD,AERO_PTAR,2035,0.6549699478082217
RD,AERO_PTAR,2036,0.8604477840748384
RD,AERO_PTAR,2037,1.0021870495640013
RD,AERO_PTAR,2038,1.1578114333180942
RD,AERO_PTAR,2039,1.874266268072871
RD,AERO_PTAR,2040,0.7233754239352963
RD,AERO_PTAR,2041,2.809341969840267
RD,AERO_PTAR,2042,2.973391645080278
RD,AERO_PTAR,2043,2.6986444415890074
RD,AERO_PTAR,2044,2.7386402958480947
RD,AERO_PTAR,2045,4.6903809383972215
RD,AERO_PTAR,2046,3.030134426368168
RD,AERO_PTAR,2047,3.1790307460335963
RD,AERO_PTAR,2048,3.2931768568504607
RD,AERO_PTAR,2049,3.46814723203454
RD,AERO_PTAR,2050,3.651164938610735
RD,SEPT_SYST,2032,0.041850001856788
RD,SEPT_SYST,2033,0.0783367605992517
RD,SEPT_SYST,2034,0.139359960153025
RD,SEPT_SYST,2035,0.1763563638239245
RD,SEPT_SYST,2036,0.2205764742509752
RD,SEPT_SYST,2037,0.2514106231891775
RD,SEPT_SYST,2038,0.2801126813803518
RD,SEPT_SYST,2039,0.4374230324794243
RD,SEPT_SYST,2040,0.1657205836300492
RD,SEPT_SYST,2041,0.6191571143664597
RD,SEPT_SYST,2042,0.6422890536731986
RD,SEPT_SYST,2043,0.5625506757878606
RD,SEPT_SYST,2044,0.5549428454399888
RD,SEPT_SYST,2045,0.9285632899755952
RD,SEPT_SYST,2046,0.5847375989732339
RD,SEPT_SYST,2047,0.5994342821219814
RD,SEPT_SYST,2048,0.6042141983634911
RD,SEPT_SYST,2049,0.624421512213848
RD,SEPT_SYST,2050,0.6357394112822978
RD,PPBIM,2027,0.2049615939453637
RD,PPCCTDSL,2024,32.172449556988425
RD,PPCCTDSL,2025,19.99296018277338
RD,PPCCTDSL,2032,51.71459525024576
RD,PPCCTNGS,2023,0.0001603753783307
RD,PPCCTNGS,2025,1.8905126919035449
RD,PPCCTNGS,2026,3.562636033318749
RD,PPCCTNGS,2027,4.230574250680784
RD,PPCCTNGS,2028,4.883760740993078
RD,PPCCTNGS,2029,5.49633739339706
RD,PPCCTNGS,2030,6.119237513071751
RD,PPCCTNGS,2031,6.697135742658462
RD,PPCCTNGS,2032,7.273995334407239
RD,PPCCTNGS,2033,7.818299644665917
RD,PPCCTNGS,2034,8.364978683404386
RD,PPCCTNGS,2035,8.878049906387629
RD,PPCCTNGS,2036,9.396625809198136
RD,PPCCTNGS,2037,9.88067426246704
RD,PPCCTNGS,2038,10.373744140817546
RD,PPCCTNGS,2039,10.829515002007938
RD,PPCCTNGS,2040,11.273451948919009
RD,PPCCTNGS,2041,11.729632633552974
RD,PPCCTNGS,2042,12.149515059196696
RD,PPCCTNGS,2043,12.583939575918237
RD,PPCCTNGS,2044,12.981511728837871
RD,PPCCTNGS,2045,13.395728479365076
RD,PPCCTNGS,2046,13.772617931276525
RD,PPCCTNGS,2047,14.168076920304744
RD,PPCCTNGS,2048,14.494858789684535
RD,PPCCTNGS,2049,14.809412612830224
RD,PPCCTNGS,2050,15.051853754803757
RD,PPCCTNGSDSL,2023,0.6496678936630867
RD,PPCCTNGSDSL,2024,0.0031519634189735
RD,PPICEGASFOI,2022,0.0001538651678813
RD,PPICEGASFOI,2024,6.5117500567611835
RD,PPICEGASFOI,2049,11.178699583947228
RD,PPICEGASFOI,2050,104.75008043202772
RD,ELE_TRANS,2021,27.14632284101713
RD,ELE_TRANS,2022,2.3730816536481973
RD,ELE_TRANS,2023,2.6791046134261336
RD,ELE_TRANS,2024,16.878392641917138
RD,ELE_TRANS,2025,7.781099672438483
RD,ELE_TRANS,2026,10.71507962834566
RD,ELE_TRANS,2027,10.001125045446695
RD,ELE_TRANS,2028,9.268575066332051
RD,ELE_TRANS,2029,8.514394325678323
RD,ELE_TRANS,2030,7.740599004834919
RD,ELE_TRANS,2031,5.193898254578458
RD,ELE_TRANS,2032,17.434508294261978
RD,ELE_TRANS,2033,17.563785741934336
RD,ELE_TRANS,2034,17.68748017653231
RD,ELE_TRANS,2035,17.806513452516736
RD,ELE_TRANS,2036,17.917478898461034
RD,ELE_TRANS,2037,18.02495288817681
RD,ELE_TRANS,2038,18.126094519257805
RD,ELE_TRANS,2039,18.22301234541169
RD,ELE_TRANS,2040,18.315947166311435
RD,ELE_TRANS,2041,37.284087549763086
RD,ELE_TRANS,2042,37.45306494837974
RD,ELE_TRANS,2043,37.61588233125519
RD,ELE_TRANS,2044,37.769087740951925
RD,ELE_TRANS,2045,37.91560794523084
RD,ELE_TRANS,2046,38.05515099692496
RD,ELE_TRANS,2047,38.18739857837806
RD,ELE_TRANS,2048,38.314618802796254
RD,ELE_TRANS,2049,38.43516133746342
RD,ELE_TRANS,2050,38.54996375143208
RD,ELE_DIST,2028,10.017538579753342
RD,ELE_DIST,2029,16.621318492131465
RD,ELE_DIST,2030,16.767760831165983
RD,ELE_DIST,2031,15.349661435319751
RD,ELE_DIST,2032,15.471211548728348
RD,ELE_DIST,2033,15.58593108699472
RD,ELE_DIST,2034,15.695696314253532
RD,ELE_DIST,2035,15.801325275105844
RD,ELE_DIST,2036,15.899794922762425
RD,ELE_DIST,2037,15.995166286429027
RD,ELE_DIST,2038,16.084918377192068
RD,ELE_DIST,2039,16.17092230491772
RD,ELE_DIST,2040,16.25339175287189
RD,ELE_DIST,2041,33.08553336566084
RD,ELE_DIST,2042,33.23548225075849
RD,ELE_DIST,2043,33.3799647983452
RD,ELE_DIST,2044,33.515917775270005
RD,ELE_DIST,2045,33.645938366519545
RD,ELE_DIST,2046,33.76976750104268
RD,ELE_DIST,2047,33.88712270687546
RD,ELE_DIST,2048,34.000016685416895
RD,ELE_DIST,2049,34.10698494761156
RD,ELE_DIST,2050,34.20885948303496
RD,INORG_DCOLL,2019,0.0358555486137367
RD,INORG_DCOLL,2021,0.0470763049034728
RD,INORG_DCOLL,2022,0.0458823850839689
RD,INORG_DCOLL,2023,0.0349815102647231
RD,INORG_DCOLL,2024,0.0323256223233721
RD,INORG_DCOLL,2025,0.1763351084950911
RD,INORG_DCOLL,2026,0.061375670100358
RD,INORG_DCOLL,2027,0.0636325444170253
RD,INORG_DCOLL,2028,0.0641315722459806
RD,INORG_DCOLL,2029,0.0666980553182534
RD,INORG_DCOLL,2030,0.0679889990106781
RD,INORG_DCOLL,2031,0.0714673868753043
RD,INORG_DCOLL,2032,0.0724684944734969
RD,INORG_DCOLL,2033,0.0729951662820654
RD,INORG_DCOLL,2034,0.0931971937119282
RD,INORG_DCOLL,2035,0.0948884551351866
RD,INORG_DCOLL,2036,0.1011864152269955
RD,INORG_DCOLL,2037,0.1032594448757937
RD,INORG_DCOLL,2038,0.1054906831095245
RD,INORG_DCOLL,2039,0.0861907431905861
RD,INORG_DCOLL,2040,0.0880835456932333
RD,INORG_DCOLL,2041,0.0957583379799035
RD,INORG_DCOLL,2042,0.0982452059671741
RD,INORG_DCOLL,2043,0.1004535074462134
RD,INORG_DCOLL,2044,0.102932277104665
RD,INORG_DCOLL,2045,0.1052830175083156
RD,INORG_DCOLL,2046,0.1146645403153751
RD,INORG_DCOLL,2047,0.1173734698793078
RD,INORG_DCOLL,2048,0.1205152842956771
RD,INORG_DCOLL,2049,0.1233519403222539
RD,INORG_DCOLL,2050,0.1262902891231554
RD,ORG_DCOLL,2025,0.0258158717880834
RD,ORG_DCOLL,2026,0.0242685765457549
RD,ORG_DCOLL,2027,0.023014938052343
RD,ORG_DCOLL,2028,0.0223610829122279
RD,ORG_DCOLL,2029,0.0218672583365009
RD,ORG_DCOLL,2030,0.0217747218921611
RD,ORG_DCOLL,2031,0.0218358232264708
RD,ORG_DCOLL,2032,0.0218265768778759
RD,ORG_DCOLL,2033,0.0219344138577649
RD,ORG_DCOLL,2034,0.0196426448365947
RD,ORG_DCOLL,2035,0.0202990663681614
RD,ORG_DCOLL,2036,0.0218807088005761
RD,ORG_DCOLL,2037,0.0226975618154501
RD,ORG_DCOLL,2038,0.0235644649490027
RD,ORG_DCOLL,2039,0.0241684702319966
RD,ORG_DCOLL,2040,0.0249242432343392
RD,ORG_DCOLL,2041,0.0269203430338452
RD,ORG_DCOLL,2042,0.027793539320222
RD,ORG_DCOLL,2043,0.0287912255776355
RD,ORG_DCOLL,2044,0.0294664060124831
RD,ORG_DCOLL,2045,0.0303462156903646
