REGION,TECHNOLOGY,YEAR,VALUE
RD,INORG_RCY_OS,2018,-13.181677465330424
RD,INORG_RCY_OS,2019,-13.10568737965017
RD,INORG_RCY_OS,2020,-11.60422639122548
RD,INORG_RCY_OS,2021,-12.151615602210848
RD,INORG_RCY_OS,2022,-12.328312421379412
RD,INORG_RCY_OS,2023,-12.169450141210891
RD,INORG_RCY_OS,2024,-11.924356493716918
RD,INORG_RCY_OS,2025,-15.156364793268928
RD,INORG_RCY_OS,2026,-15.389819180655572
RD,INORG_RCY_OS,2027,-15.604842768546744
RD,INORG_RCY_OS,2028,-15.767800182016762
RD,INORG_RCY_OS,2029,-15.916550623563191
RD,INORG_RCY_OS,2030,-16.032636674381564
RD,INORG_RCY_OS,2031,-16.149739591277513
RD,INORG_RCY_OS,2032,-16.22693959298775
RD,INORG_RCY_OS,2033,-16.26266514238382
RD,INORG_RCY_OS,2034,-16.542007292073986
RD,INORG_RCY_OS,2035,-16.77427940814996
RD,INORG_RCY_OS,2036,-17.017817688832217
RD,INORG_RCY_OS,2037,-17.219021216709745
RD,INORG_RCY_OS,2038,-17.37800360262684
RD,INORG_RCY_OS,2039,-17.499608900609136
RD,INORG_RCY_OS,2040,-17.58380067750305
RD,INORG_RCY_OS,2041,-17.690049885092886
RD,INORG_RCY_OS,2042,-17.763516067648204
RD,INORG_RCY_OS,2043,-17.803606542155066
RD,INORG_RCY_OS,2044,-17.814782629193974
RD,INORG_RCY_OS,2045,-17.797801906410086
RD,INORG_RCY_OS,2046,-17.807066579751694
RD,INORG_RCY_OS,2047,-17.78907243789554
RD,INORG_RCY_OS,2048,-17.74847134060417
RD,INORG_RCY_OS,2049,-17.68458118433824
RD,INORG_RCY_OS,2050,-17.599550047803195
RD,COMPOST,2025,-0.651750193424326
RD,COMPOST,2026,-1.1995477147930835
RD,COMPOST,2027,-1.66108470441505
RD,COMPOST,2028,-2.058161373587422
RD,COMPOST,2029,-2.400223524032536
RD,COMPOST,2030,-2.7000940310084136
RD,COMPOST,2031,-2.9640990144357566
RD,COMPOST,2032,-3.1939071640244987
RD,COMPOST,2033,-3.3942505390032567
RD,COMPOST,2034,-3.531020355251298
RD,COMPOST,2035,-3.6544616535473
RD,COMPOST,2036,-3.777657658226557
RD,COMPOST,2037,-3.8893449047609625
RD,COMPOST,2038,-3.990437852961621
RD,COMPOST,2039,-4.07815550419504
RD,COMPOST,2040,-4.154888508312295
RD,COMPOST,2041,-4.2338593732372924
RD,COMPOST,2042,-4.302629650305615
RD,COMPOST,2043,-4.362737303540049
RD,COMPOST,2044,-4.411598267210379
RD,COMPOST,2045,-4.4515844782417116
RD,COMPOST,2046,-4.495586792414027
RD,COMPOST,2047,-4.532288984765308
RD,COMPOST,2048,-4.559656730861474
RD,COMPOST,2049,-4.579124095729228
RD,COMPOST,2050,-4.591239990306307
RD,NO_CONTR_OD,2018,1068.9586417167118
RD,NO_CONTR_OD,2019,1037.3537789648872
RD,NO_CONTR_OD,2020,971.6844557405004
RD,NO_CONTR_OD,2021,1044.486223770862
RD,NO_CONTR_OD,2022,1087.435526098559
RD,NO_CONTR_OD,2023,1073.1213146929606
RD,NO_CONTR_OD,2024,1051.6160270120106
RD,NO_CONTR_OD,2025,953.5378449487292
RD,NO_CONTR_OD,2026,820.8635364720278
RD,NO_CONTR_OD,2027,691.7508570191062
RD,NO_CONTR_OD,2028,565.7928671490414
RD,NO_CONTR_OD,2029,444.53280116757975
RD,NO_CONTR_OD,2030,327.423105161115
RD,NO_CONTR_OD,2031,214.73661835394307
RD,NO_CONTR_OD,2032,105.56940778928733
RD,OPEN_BURN,2018,55.61593168384524
RD,OPEN_BURN,2019,66.01061532617125
RD,OPEN_BURN,2020,36.77776362279192
RD,OPEN_BURN,2021,36.58139112442459
RD,OPEN_BURN,2022,35.14476122383264
RD,OPEN_BURN,2023,34.69256558688703
RD,OPEN_BURN,2024,33.99602782732913
RD,OPEN_BURN,2025,30.814597472259525
RD,OPEN_BURN,2026,26.53202355296844
RD,OPEN_BURN,2027,22.36474731467489
RD,OPEN_BURN,2028,18.28839917898415
RD,OPEN_BURN,2029,14.36594804450844
RD,OPEN_BURN,2030,10.579479385828272
RD,OPEN_BURN,2031,6.9376132010586105
RD,OPEN_BURN,2032,3.4099699503451806
RD,SIT_CLAN,2018,151.0796321205038
RD,SIT_CLAN,2019,144.70874225862008
RD,SIT_CLAN,2020,138.20993469122416
RD,SIT_CLAN,2021,123.13333593902377
RD,SIT_CLAN,2022,103.08899456391784
RD,SIT_CLAN,2023,101.73632063783424
RD,SIT_CLAN,2024,99.71421474639405
RD,SIT_CLAN,2025,90.40885850034992
RD,SIT_CLAN,2026,77.83616579847576
RD,SIT_CLAN,2027,65.56844808538239
RD,SIT_CLAN,2028,53.64597092502018
RD,SIT_CLAN,2029,42.140881228696855
RD,SIT_CLAN,2030,31.037570305539436
RD,SIT_CLAN,2031,20.36102025604805
RD,SIT_CLAN,2032,10.021824823829228
RD,T4DSL_HEA,2018,75.03002182041918
RD,T4DSL_HEA,2019,75.85496656028599
RD,T4DSL_HEA,2020,76.30025542967391
RD,T4DSL_HEA,2021,75.52829125837081
RD,T4DSL_HEA,2022,74.75249043995451
RD,T4DSL_HEA,2023,73.96993414936148
RD,T4DSL_HEA,2024,73.19469268103752
RD,T4DSL_HEA,2025,68.88330671346579
RD,T4DSL_HEA,2026,67.5119023891672
RD,T4DSL_HEA,2027,66.22477409510026
RD,T4DSL_HEA,2028,64.94458343339677
RD,T4DSL_HEA,2029,63.685201641979
RD,T4DSL_HEA,2030,62.432501114827055
RD,T4DSL_HEA,2031,61.1988274207031
RD,T4DSL_HEA,2032,59.97628087845336
RD,T4DSL_HEA,2033,58.77217367449634
RD,T4DSL_HEA,2034,57.58041377233823
RD,T4DSL_HEA,2035,56.40085025023302
RD,T4DSL_HEA,2036,55.23678379062667
RD,T4DSL_HEA,2037,54.08641721157117
RD,T4DSL_HEA,2038,52.95230714389172
RD,T4DSL_HEA,2039,51.82945030282664
RD,T4DSL_HEA,2040,50.72884118297754
RD,T4DSL_HEA,2041,49.6379463031992
RD,T4DSL_HEA,2042,48.561089410426845
RD,T4DSL_HEA,2043,47.499926477209215
RD,T4DSL_HEA,2044,46.45243941043103
RD,T4DSL_HEA,2045,45.41848079882151
RD,T4DSL_HEA,2046,44.402559544478414
RD,T4DSL_HEA,2047,43.3996209558084
RD,T4DSL_HEA,2048,42.41140832127742
RD,T4DSL_HEA,2049,41.43372191093683
RD,T4DSL_HEA,2050,40.47661971482013
