REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
RD,All,DIST_FIR,1,E1FIR,2018,12.4972
RD,All,DIST_FIR,1,E1FIR,2019,18.2867
RD,All,DIST_FIR,1,E1FIR,2020,18.5214
RD,All,DIST_FIR,1,E1FIR,2021,18.7544
RD,All,DIST_FIR,1,E1FIR,2022,18.9082
RD,All,DIST_FIR,1,E1FIR,2023,19.1873
RD,All,DIST_FIR,1,E1FIR,2024,19.9879
RD,All,DIST_FIR,1,E1FIR,2025,20.7965
RD,All,DIST_FIR,1,E1FIR,2026,21.3519
RD,All,DIST_FIR,1,E1FIR,2027,21.9075
RD,All,DIST_FIR,1,E1FIR,2028,22.4629
RD,All,DIST_FIR,1,E1FIR,2029,23.0185
RD,All,DIST_FIR,1,E1FIR,2030,23.574
RD,All,DIST_FIR,1,E1FIR,2031,23.9622
RD,All,DIST_FIR,1,E1FIR,2032,24.3504
RD,All,DIST_FIR,1,E1FIR,2033,24.7385
RD,All,DIST_FIR,1,E1FIR,2034,25.1268
RD,All,DIST_FIR,1,E1FIR,2035,25.5149
RD,All,DIST_FIR,1,E1FIR,2036,25.9031
RD,All,DIST_FIR,1,E1FIR,2037,26.2913
RD,All,DIST_FIR,1,E1FIR,2038,26.6795
RD,All,DIST_FIR,1,E1FIR,2039,27.0677
RD,All,DIST_FIR,1,E1FIR,2040,27.4559
RD,All,DIST_FIR,1,E1FIR,2041,27.372
RD,All,DIST_FIR,1,E1FIR,2042,27.2879
RD,All,DIST_FIR,1,E1FIR,2043,27.204
RD,All,DIST_FIR,1,E1FIR,2044,27.1201
RD,All,DIST_FIR,1,E1FIR,2045,27.0361
RD,All,DIST_FIR,1,E1FIR,2046,26.9522
RD,All,DIST_FIR,1,E1FIR,2047,26.8682
RD,All,DIST_FIR,1,E1FIR,2048,26.7842
RD,All,DIST_FIR,1,E1FIR,2049,26.7003
RD,All,DIST_FIR,1,E1FIR,2050,26.6164
RD,All,DIST_BIM,1,E1BIM,2018,18.340670643545742
RD,All,DIST_BIM,1,E1BIM,2019,17.458510120000003
RD,All,DIST_BIM,1,E1BIM,2020,17.71477575
RD,All,DIST_BIM,1,E1BIM,2021,17.987761
RD,All,DIST_BIM,1,E1BIM,2022,14.796519109999998
