REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
RD,All,REF_DSL,1,E1CRU,2018,56.59055586
RD,All,REF_DSL,1,E1CRU,2019,60.72637148064516
RD,All,REF_DSL,1,E1CRU,2020,64.85800966741937
RD,All,REF_DSL,1,E1CRU,2021,67.5785366272043
RD,All,REF_DSL,1,E1CRU,2022,69.52644770623655
RD,All,REF_DSL,1,E1CRU,2023,74.51071360344086
RD,All,REF_DSL,1,E1CRU,2024,90.27458293993408
RD,All,REF_DSL,1,E1CRU,2025,92.34978722000001
RD,All,REF_DSL,1,E1CRU,2026,94.92483526000001
RD,All,REF_DSL,1,E1CRU,2027,97.81979514
RD,All,REF_DSL,1,E1CRU,2028,100.86702487
RD,All,REF_DSL,1,E1CRU,2029,104.10756254
RD,All,REF_DSL,1,E1CRU,2030,107.59660085000002
RD,All,REF_DSL,1,E1CRU,2031,111.28551228000003
RD,All,REF_DSL,1,E1CRU,2032,117.44291678
RD,All,REF_DSL,1,E1CRU,2033,121.75358334
RD,All,REF_DSL,1,E1CRU,2034,126.28965789
RD,All,REF_DSL,1,E1CRU,2035,130.954808
RD,All,REF_DSL,1,E1CRU,2036,135.57095303
RD,All,REF_DSL,1,E1CRU,2037,140.09457491
RD,All,REF_DSL,1,E1CRU,2038,144.46637116000002
RD,All,REF_DSL,1,E1CRU,2039,148.6845094
RD,All,REF_DSL,1,E1CRU,2040,152.77990784000002
RD,All,REF_DSL,1,E1CRU,2041,156.53424023000002
RD,All,REF_DSL,1,E1CRU,2042,160.22703651000003
RD,All,REF_DSL,1,E1CRU,2043,163.87973268
RD,All,REF_DSL,1,E1CRU,2044,167.51402721999995
RD,All,REF_DSL,1,E1CRU,2045,171.13385632
RD,All,REF_DSL,1,E1CRU,2046,174.74926767999995
RD,All,REF_DSL,1,E1CRU,2047,178.37029624000004
RD,All,REF_DSL,1,E1CRU,2048,182.26754178494625
RD,All,REF_DSL,1,E1CRU,2049,186.17243265645163
RD,All,REF_DSL,1,E1CRU,2050,190.08571194268816
RD,All,REF_GSL,1,E1CRU,2018,76.80076494999999
RD,All,REF_GSL,1,E1CRU,2019,85.13682065868143
RD,All,REF_GSL,1,E1CRU,2020,92.36691221149246
RD,All,REF_GSL,1,E1CRU,2021,97.77798943581213
RD,All,REF_GSL,1,E1CRU,2022,103.23201694155
RD,All,REF_GSL,1,E1CRU,2023,108.58691583644372
RD,All,REF_GSL,1,E1CRU,2024,114.7462854998267
RD,All,REF_GSL,1,E1CRU,2025,115.7411922662033
RD,All,REF_GSL,1,E1CRU,2026,119.9431122498703
RD,All,REF_GSL,1,E1CRU,2027,123.99644035525765
RD,All,REF_GSL,1,E1CRU,2028,127.69154395623364
RD,All,REF_GSL,1,E1CRU,2029,130.8531448269053
RD,All,REF_GSL,1,E1CRU,2030,133.27201867304578
RD,All,REF_GSL,1,E1CRU,2031,134.75652510986342
RD,All,REF_GSL,1,E1CRU,2032,135.18727686668106
RD,All,REF_GSL,1,E1CRU,2033,134.59994859349874
RD,All,REF_GSL,1,E1CRU,2034,133.24590896965236
RD,All,REF_GSL,1,E1CRU,2035,131.47957562713404
RD,All,REF_GSL,1,E1CRU,2036,129.87092854395172
RD,All,REF_GSL,1,E1CRU,2037,128.6835786507694
RD,All,REF_GSL,1,E1CRU,2038,128.159342137587
RD,All,REF_GSL,1,E1CRU,2039,128.35789032440468
RD,All,REF_GSL,1,E1CRU,2040,129.2375029384792
RD,All,REF_GSL,1,E1CRU,2041,130.67948796812863
RD,All,REF_GSL,1,E1CRU,2042,132.59563043362
RD,All,REF_GSL,1,E1CRU,2043,134.8726297467298
RD,All,REF_GSL,1,E1CRU,2044,137.4262847275211
