REGION,TECHNOLOGY,YEAR,VALUE
RD,PPHDAM,2026,27.661425110498595
RD,PPHDAM,2027,32.734896053037026
RD,PPHDAM,2028,34.13503323688318
RD,PPHDAM,2029,35.54697578814346
RD,PPHDAM,2030,38.005199875421695
RD,PPHDAM,2031,38.43232367257952
RD,PPHDAM,2032,39.882914098045525
RD,PPHDAM,2033,41.34680642162455
RD,PPHDAM,2034,42.824416603535134
RD,PPHDAM,2035,44.31617846179493
RD,PPHDAM,2036,45.82254324775307
RD,PPHDAM,2037,47.34397927638729
RD,PPHDAM,2038,48.88097160922792
RD,PPHDAM,2039,52.02061725595848
RD,PPHDAM,2040,52.039389211156525
RD,PPHDAM,2041,53.6274931095031
RD,PPHDAM,2042,55.302219168358896
RD,PPHDAM,2043,56.857684990939326
RD,PPHDAM,2044,58.500587761416256
RD,PPHDAM,2045,60.16292938236002
RD,PPHDAM,2046,61.8453242514098
RD,PPHDAM,2047,63.548402775137696
RD,PPHDAM,2048,67.55419589906599
RD,PPHDAM,2049,67.06856201967804
RD,PPHDAM,2050,68.83932914738523
RD,PPWNDON,2032,47.97474495694445
RD,PPWNDON,2033,93.49967909327148
RD,PPWNDON,2034,136.71693455712085
RD,PPWNDON,2035,177.71844537186868
RD,PPWNDON,2036,216.60297107798075
RD,PPWNDON,2037,253.50482902778268
RD,PPWNDON,2038,288.48551734084214
RD,PPWNDON,2039,611.2013241536065
RD,PPWNDON,2040,353.1955699840474
RD,PPWNDON,2041,383.1748241939404
RD,PPWNDON,2042,505.2213798575884
RD,PPWNDON,2043,438.11321572079447
RD,PPWNDON,2044,591.9067244950103
RD,PPWNDON,2045,590.5577381651143
RD,PPWNDON,2046,759.5448394151889
RD,PPWNDON,2047,791.6980251825789
RD,PPWNDON,2048,2537.8696996460358
RD,PPWNDON,2049,2626.800604322772
RD,PPWNDON,2050,2710.7451189724075
RD,PPPVT,2032,47.13118156593614
RD,PPPVT,2033,91.89501748485132
RD,PPPVT,2034,134.40709572989522
RD,PPPVT,2035,174.77737084548266
RD,PPPVT,2036,213.11041324046312
RD,PPPVT,2037,249.4845655544364
RD,PPPVT,2038,284.0337863444472
RD,PPPVT,2039,444.65927670389055
RD,PPPVT,2040,348.1042650067282
RD,PPPVT,2041,654.1624580373899
RD,PPPVT,2042,490.98676486610776
RD,PPPVT,2043,890.5280340182478
RD,PPPVT,2044,2269.979799918985
RD,PPPVT,2045,1265.9092809362246
RD,PPPVT,2046,918.4554818863406
RD,PPPVT,2047,741.5488047918745
RD,PPPVT,2048,1091.708937749856
RD,PPPVT,2049,1130.3987392026918
RD,PPPVT,2050,1166.9671310692947
RD,INORG_RCY_OS,2019,0.8101577354503756
RD,INORG_RCY_OS,2021,1.0636912290712328
RD,INORG_RCY_OS,2022,1.0367145569890768
RD,INORG_RCY_OS,2023,0.7904087995977445
RD,INORG_RCY_OS,2024,0.7303988919721625
RD,INORG_RCY_OS,2025,3.9843059692089846
RD,INORG_RCY_OS,2026,1.3867903530200547
RD,INORG_RCY_OS,2027,1.4377868852420852
RD,INORG_RCY_OS,2028,1.449051181073428
RD,INORG_RCY_OS,2029,1.5070431324596716
RD,INORG_RCY_OS,2030,1.536214364531544
RD,INORG_RCY_OS,2031,1.6148111247052523
RD,INORG_RCY_OS,2032,1.637433666842364
RD,INORG_RCY_OS,2033,1.6493362996652956
RD,INORG_RCY_OS,2034,2.1057828463094737
RD,INORG_RCY_OS,2035,2.144005414444465
RD,INORG_RCY_OS,2036,2.2863112372308207
RD,INORG_RCY_OS,2037,2.333154817293562
RD,INORG_RCY_OS,2038,2.3835732303809083
RD,INORG_RCY_OS,2039,1.9474917900674047
RD,INORG_RCY_OS,2040,1.9902406519539513
RD,INORG_RCY_OS,2041,2.163660383352456
RD,INORG_RCY_OS,2042,2.2198543318378494
RD,INORG_RCY_OS,2043,2.269754170674422
RD,INORG_RCY_OS,2044,2.3257653666908205
RD,INORG_RCY_OS,2045,2.3788838404148605
RD,INORG_RCY_OS,2046,2.590836405621627
RD,INORG_RCY_OS,2047,2.652048167418531
RD,INORG_RCY_OS,2048,2.7230474533065063
RD,INORG_RCY_OS,2049,2.787145573486911
RD,INORG_RCY_OS,2050,2.853541580776686
