REGION,YEAR,VALUE
RD,2018,11631.980522850128
RD,2019,27386.410262485
RD,2020,41021.770282294805
RD,2021,37900.65796464488
RD,2022,39996.3938480152
RD,2023,41235.51430258532
RD,2024,43907.38189447338
RD,2025,45592.70227019694
RD,2026,44158.25700963458
RD,2027,45964.450696834734
RD,2028,48504.77807779865
RD,2029,49499.252269387085
RD,2030,48741.899941854805
RD,2031,49564.27833048991
RD,2032,49697.448487894224
RD,2033,51850.00355932922
RD,2034,57262.58929246031
RD,2035,53522.0941466782
RD,2036,52677.18448587223
RD,2037,51145.76689963565
RD,2038,47940.651972758125
RD,2039,45772.371094866045
RD,2040,42027.57732600881
RD,2041,41114.214256447354
RD,2042,39094.80634366732
RD,2043,37065.43008543408
RD,2044,35952.878690258134
RD,2045,34421.635324250696
RD,2046,32598.893909220948
RD,2047,31972.781021447136
RD,2048,30816.491868990404
RD,2049,28626.013422185933
RD,2050,26432.517466706387
