REGION,TECHNOLOGY,VALUE
RD,DIST_FIR,786.2861
RD,DIST_BIM,859.3777270635458
RD,DIST_BGS,140.21765665568006
RD,DIST_CRU,12201.007801322616
RD,DIST_NGS,2056.8366989791707
RD,DIST_COK,728.2097999999999
RD,DIST_KER,1035.0654443270505
RD,DIST_COA,3844.16434159
RD,IMP_ELE,146.8472351345916
RD,PPHDAM,151.25149999999996
RD,PPWNDON,703.2541768761599
RD,PPPVT,807.7138128351999
RD,PPPVD,19.24631280000001
RD,SOIALL,168.41651699999989
RD,IMPRIC,21.281605863
RD,IMPBAN,26.9198
RD,IMPSGC,90473.2797
RD,IMPCOC,7.5746
RD,IMPTRVEG,14.724216638
RD,IMPCAF,3.744556414
RD,IMPLEG,16.953599999999998
RD,IMPROT,17.9189
RD,IMPFRT,53.718263342
RD,IMPCER,68.75589999999998
RD,IMPOTP,10115.981348009
RD,IMPLEC,16.890100000000004
RD,IMPCARAVI,3.5414
RD,IMPCARBOV,1.3479
RD,IMPOTRCARPRO,4.921299999999998
RD,IMPCARPOR,5.521199999999999
RD,IMPOTRCAR,0.1094
RD,INORG_RCY_OS,24.474456612089508
RD,COMPOST,4.878917681078983
RD,LANDFILL,156.2934100934531
RD,NO_CONTR_OD,27.854114051419536
RD,OPEN_BURN,2.9682467582410217
RD,SIT_CLAN,2.968646912109036
RD,AERO_PTAR,6.855311637009352
RD,SEPT_SYST,15.1456258167809
RD,LATR,17.044809716633136
RD,EFLT_DISC,12770446.72342482
RD,SEWER_NO_T,14.767449733027894
RD,RAW_MAT_CLK,228.16947022394217
RD,RAW_MAT_CEM,164.1447176635174
RD,IMP_STOR,11.711700000000004
RD,REF_DSL,4141.987761658967
RD,REF_GSL,4169.342494018738
RD,REF_LPG,2407.9251243049125
RD,REF_FOI,1481.7524213399995
RD,PPBIM,45.161100000000005
RD,PPBGS,140.21765665568006
RD,PPCOA,607.2916
RD,PPCCTDSL,110.7747
RD,PPCCTNGS,1198.0785999999998
RD,PPCCTNGSDSL,223.93540000000013
RD,PPICEFOI,109.6576
RD,PPICEGASFOI,408.7209
RD,ELE_TRANS,4116.32666983168
RD,ELE_DIST,3530.5772872
RD,LU_FOR,44.5754
RD,LU_AGR,56.6435
RD,LU_GAN,42.66050000000002
RD,LU_MTS,20.973117
RD,LU_SAB,0.099
RD,LU_URB,3.365999999999999
RD,LU_OLU,0.099
RD,LU_LATHUM,19.297768001
RD,LU_CLF,2.477
RD,LU_LATSHUM,6.002
RD,LU_DCON,3.616999999999999
RD,LU_SCON,1.7059999999999995
RD,LU_WET,0.5834388729999999
RD,LU_DRY,10.268258749
RD,OSS_INORG,24.474456612089508
RD,OSS_ORG,4.878917681078983
RD,NO_OSS_BLEND,184.14741604386168
RD,NO_OSS_NO_COLL,5.936793670350056
RD,INORG_DCOLL,24.474456612089508
RD,ORG_DCOLL,4.878917681078983
RD,BLEND_NO_DCOLL,184.14741604386168
RD,BLEND_NO_COLL,5.936793670350056
RD,INORG_SS,24.474456612089508
RD,ORG_SS,4.878917681078983
RD,NO_SS,190.08390263356785
RD,WWWT,22.000486118162023
RD,WWWOT,774779.2978873831
RD,SEWERWW,22.00048611816203
RD,DIRECT_DISC,774779.2978873831
RD,PROD_CLK_TRAD,244.37608233648265
RD,PROD_CEM,420.2325
RD,T5DSLCOM,47.5218
RD,T5GSLCOM,0.0918
RD,T5NGSCOM,0.095
RD,T5LPGCOM,95.723
RD,T5ELECOM,726.0752999999999
RD,T5FIRCOM,0.1256999999999999
RD,T5DSLIND,257.9383
RD,T5GSLIND,3.2499
RD,T5NGSIND,153.36870000000002
RD,T5LPGIND,87.06200000000001
RD,T5ELEIND,1352.9551
RD,T5COKIND,728.2097999999999
RD,T5BIMIND,378.25299999999993
RD,T5COAIND,146.67820000000003
RD,T5FOIIND,794.8530999999998
RD,T5LPGRES,831.8460999999999
RD,T5ELERES,1233.6386000000002
RD,T5KERRES,18.1907
RD,T5FIRRES,786.1604
RD,T5BIMRES,0.0105
RD,T5GSLCON,78.77666912104993
RD,T5LPGCON,31.155880819105622
RD,T5NGSEXP,72.17398275623253
RD,T5KEREXP,1016.8747443270504
RD,T5BIMEXP,3.4089307235457387
RD,T5DSLAGR,125.82699999999998
RD,T5ELEAGR,237.1546
RD,T5SGCAGR,90473.2797
RD,T5RICAGR,20.216800000000006
RD,T5CERAGR,68.6659
RD,T5BANAGR,25.416799999999988
RD,T5TRVEGAGR,10.987500000000002
RD,T5CAFAGR,0.7491000000000002
RD,T5COCAGR,4.4236
