Status of solution of each future.
Write in order of solution.


################################# BAU #################################



BAU_14: Optimal solution.
BAU_10: Optimal solution.
BAU_13: Optimal solution.
BAU_100: Optimal solution.
BAU_12: Optimal solution.
BAU_11: Optimal solution.
BAU_1: Optimal solution.
BAU_15: Optimal solution.
BAU_16: Optimal solution.
BAU_18: Optimal solution.
BAU_17: Optimal solution.
BAU_2: Optimal solution.
BAU_19: Optimal solution.
BAU_20: Optimal solution.
BAU_21: Optimal solution.
BAU_22: Optimal solution.
BAU_23: Optimal solution.
BAU_24: Optimal solution.
BAU_25: Optimal solution.
BAU_26: Optimal solution.
BAU_27: Optimal solution.
BAU_28: Optimal solution.
BAU_29: Optimal solution.
BAU_3: Optimal solution.
BAU_30: Optimal solution.
BAU_31: Optimal solution.
BAU_32: Optimal solution.
BAU_33: Optimal solution.
BAU_34: Optimal solution.
BAU_35: Optimal solution.
BAU_36: Optimal solution.
BAU_37: Optimal solution.
BAU_38: Optimal solution.
BAU_4: Optimal solution.
BAU_39: Optimal solution.
BAU_40: Optimal solution.
BAU_41: Optimal solution.
BAU_42: Optimal solution.
BAU_44: Optimal solution.
BAU_43: Optimal solution.
BAU_45: Optimal solution.
BAU_46: Optimal solution.
BAU_47: Optimal solution.
BAU_48: Optimal solution.
BAU_49: Optimal solution.
BAU_5: Optimal solution.
BAU_50: Optimal solution.
BAU_51: Optimal solution.
BAU_52: Optimal solution.
BAU_53: Optimal solution.
BAU_54: Optimal solution.
BAU_55: Optimal solution.
BAU_56: Optimal solution.
BAU_57: Optimal solution.
BAU_58: Optimal solution.
BAU_59: Optimal solution.
BAU_6: Optimal solution.
BAU_61: Optimal solution.
BAU_60: Optimal solution.
BAU_62: Optimal solution.
BAU_63: Optimal solution.
BAU_64: Optimal solution.
BAU_65: Optimal solution.
BAU_67: Optimal solution.
BAU_66: Optimal solution.
BAU_68: Optimal solution.
BAU_69: Optimal solution.
BAU_7: Optimal solution.
BAU_71: Optimal solution.
BAU_70: Optimal solution.
BAU_72: Optimal solution.
BAU_73: Optimal solution.
BAU_74: Optimal solution.
BAU_76: Optimal solution.
BAU_75: Optimal solution.
BAU_77: Optimal solution.
BAU_78: Optimal solution.
BAU_79: Optimal solution.
BAU_8: Optimal solution.
BAU_80: Optimal solution.
BAU_82: Optimal solution.
BAU_81: Optimal solution.
BAU_83: Optimal solution.
BAU_84: Optimal solution.
BAU_85: Optimal solution.
BAU_86: Optimal solution.
BAU_87: Optimal solution.
BAU_88: Optimal solution.
BAU_89: Optimal solution.
BAU_9: Optimal solution.
BAU_90: Optimal solution.
BAU_91: Optimal solution.
BAU_92: Optimal solution.
BAU_93: Optimal solution.
BAU_94: Optimal solution.
BAU_96: Optimal solution.
BAU_95: Optimal solution.
